# PyCode/FiShTaCo/fishtaco/compute_contribution_to_DA.py {'functional_profile_already_corrected_with_musicc': True, 'map_function_level': 'pathway', 'taxa_abun_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/METAPHLAN_taxa_vs_SAMPLE.tab', 'number_of_shapley_orderings_per_taxa': '5', 'max_da_functions_cases_controls': '200', 'function_abun_file': 'HMP_DATA/WGS_KO_vs_SAMPLE_MUSiCC.tab', 'number_of_permutations': '100', 'normalization_mode': 'scale_permuted', 'taxa_to_function_file': 'HMP_DATA/METAPHLAN_taxa_vs_KO.tab', 'write_log': True, 'da_result_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/Output_METAPHLAN_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_IMG_MEAN/Parallel/DA_of_PATHWAY.tab', 'taxa_assessment_method': 'multi_taxa', 'max_score_cutoff': '100', 'na_rep': '0', 'case_label': '1', 'single_function_filter': 'ko00020', 'map_function_file': '/net/gs/vol1/home/ohadm/MUSiCC/Matrices/KOvsPATHWAY_BACTERIAL_KEGG_2013_07_15', 'control_label': '0', 'perform_inference_on_ko_level': False, 'score_to_compute': 'wilcoxon', 'class_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/SAMPLE_vs_CLASS.tab', 'apply_inference': False, 'output_pref': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/Output_METAPHLAN_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_IMG_MEAN/Parallel/ko00020/pathway_with_t2f', 'residual_mode': 'remove_residual', 'multiple_hypothesis_correction': 'Bonf', 'permutation_mode': 'blocks'}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
ko00020	11.094707082850327	7.799780276645256	10.799583790186055	3.457673442343766e-27	26.46121602577727	1.0	1.0	1.0	1.0	ko00020
ko00120	0.009883698883802831	0.010515782041853168	6.0901914764915785	1.127757219158352e-09	8.947784384154348	1.0	1.0	1.0	1.0	ko00120
ko00130	3.5213385627511	2.2788441740718826	9.823463287017086	8.922441254544225e-23	22.04951630276275	1.0	1.0	1.0	1.0	ko00130
ko00190	17.61176574152937	13.338429690856042	10.868512572869966	1.6283382187298313e-27	26.78825538367763	1.0	1.0	1.0	1.0	ko00190
ko00196	0.000945360131889608	0.003380607038625628	7.904574917461688	2.688494485712219e-15	14.570490849953911	1.0	1.0	1.0	1.0	ko00196
ko00232	0.000747791017201813	0.0005113076456329902	6.219155005384063	4.998393385050051e-10	9.301169566890367	1.0	1.0	1.0	1.0	ko00232
ko00250	13.811695877194266	13.344102266171221	4.542629129781782	5.555694347920553e-06	5.255261655422348	1.0	1.0	1.0	1.0	ko00250
ko00280	4.1377338265233545	3.8353798051409616	5.923428292578887	3.152982497428548e-09	8.501278440064432	1.0	1.0	1.0	1.0	ko00280
ko00330	11.918490807179339	10.611930290435696	8.387076396249084	4.9838114438204516e-17	16.302438397018502	1.0	1.0	1.0	1.0	ko00330
ko00340	6.054806798768406	5.502963749269243	4.415889110008133	1.0059564681241451e-05	4.997420812582803	1.0	1.0	1.0	1.0	ko00340
ko00351	0.025599398702890918	0.005606164620499026	9.988002961810944	1.7201217872483433e-23	22.76444080329159	1.0	1.0	1.0	1.0	ko00351
ko00360	2.5489485074058664	2.2424194453312167	8.06244406489904	7.478396787564431e-16	15.126191495844262	1.0	1.0	1.0	1.0	ko00360
ko00361	0.08723318157717536	0.06525151200223489	6.0901914764915785	1.127757219158352e-09	8.947784384154348	1.0	1.0	1.0	1.0	ko00361
