# PyCode/FiShTaCo/fishtaco/compute_contribution_to_DA.py {'functional_profile_already_corrected_with_musicc': True, 'map_function_level': 'pathway', 'taxa_abun_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/METAPHLAN_taxa_vs_SAMPLE.tab', 'number_of_shapley_orderings_per_taxa': '5', 'max_da_functions_cases_controls': '200', 'function_abun_file': 'HMP_DATA/WGS_KO_vs_SAMPLE_MUSiCC.tab', 'number_of_permutations': '100', 'normalization_mode': 'scale_permuted', 'taxa_to_function_file': 'HMP_DATA/METAPHLAN_taxa_vs_KO.tab', 'write_log': True, 'da_result_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/Output_METAPHLAN_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_IMG_MEAN/Parallel/DA_of_PATHWAY.tab', 'taxa_assessment_method': 'multi_taxa', 'max_score_cutoff': '100', 'na_rep': '0', 'case_label': '1', 'single_function_filter': 'ko00020', 'map_function_file': '/net/gs/vol1/home/ohadm/MUSiCC/Matrices/KOvsPATHWAY_BACTERIAL_KEGG_2013_07_15', 'control_label': '0', 'perform_inference_on_ko_level': False, 'score_to_compute': 'wilcoxon', 'class_file': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/SAMPLE_vs_CLASS.tab', 'apply_inference': False, 'output_pref': 'HMP_DATA/TONGUE_DORSUM_vs_BUCCAL_MUCOSA/Output_METAPHLAN_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_IMG_MEAN/Parallel/ko00020/pathway_with_t2f', 'residual_mode': 'remove_residual', 'multiple_hypothesis_correction': 'Bonf', 'permutation_mode': 'blocks'}
Taxa	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
s__Abiotrophia_defectiva	0.0002202359291866977	0.0046370172362582	-6.131326395190045	8.714939985429503e-10	-9.0597355992696	1.0	1.0	1.0	1.0	s__Abiotrophia_defectiva
s__Actinomyces_odontolyticus	0.016424583202763625	0.002093538658915435	11.446624943767306	2.4448004779184698e-30	29.611756578206933	1.0	1.0	1.0	1.0	s__Actinomyces_odontolyticus
s__Actinomyces_oris	0.00018681609787312662	0.004893592465039642	-10.223694928407552	1.5530571564900069e-24	-23.80881256082557	1.0	1.0	1.0	1.0	s__Actinomyces_oris
s__Actinomyces_viscosus	0.00020025273218927952	0.0065162281330079525	-10.337093893468184	4.788384791792273e-25	-24.31981095721355	1.0	1.0	1.0	1.0	s__Actinomyces_viscosus
s__Aggregatibacter_aphrophilus	0.00018476202571339424	0.0008943865817074426	-3.726601283168999	0.00019407910453158667	-3.71202122027948	1.0	1.0	1.0	1.0	s__Aggregatibacter_aphrophilus
s__Aggregatibacter_segnis	0.00030771983315443317	0.0011978148774512958	-4.415889110008133	1.0059564681241451e-05	-4.997420812582803	1.0	1.0	1.0	1.0	s__Aggregatibacter_segnis
s__Alistipes_putredinis	7.170753286383182e-06	0.00029014849016842755	-0.02223509118835918	0.9822604257835946	-0.00777335285847742	0.0	0.0	0.0	0.0	s__Alistipes_putredinis
s__Atopobium_parvulum	0.00583017286350897	0.0005112998595953775	10.59502095125315	3.142706203302214e-26	25.502696217216133	1.0	1.0	1.0	1.0	s__Atopobium_parvulum
s__Bacteroides_stercoris	2.2658410446544462e-06	0.0001800116539593387	0.03446439134195673	0.9725068370620678	0.012107336749924752	0.0	0.0	0.0	0.0	s__Bacteroides_stercoris
s__Bacteroides_unclassified	0.0005793115920433741	0.0009330225895546492	5.0762713183024015	3.8491355662654784e-07	6.414636792817017	1.0	1.0	1.0	1.0	s__Bacteroides_unclassified
s__Bacteroides_vulgatus	6.515958262703629e-06	0.00015912449419680744	-0.008894036475343673	0.9929036791709867	-0.0030928800378446737	0.0	0.0	0.0	0.0	s__Bacteroides_vulgatus
