Taxa	ko00020	ko00120	ko00130	ko00190	ko00196	ko00232	ko00250	ko00280	ko00330	ko00340	ko00351	ko00360	ko00361	ko00364	ko00401	ko00410	ko00471	ko00472	ko00523	ko00540	ko00592	ko00623	ko00630	ko00633	ko00643	ko00680	ko00710	ko00720	ko00760	ko00860	ko00901	ko00906	ko00910	ko00941	ko00944	ko00960	ko00965	ko00984	ko01053	ko01056	ko02040	ko03018	ko04614	ko04964	ko05134
s__Abiotrophia_defectiva	0.004376802160234899	0.030352362307056895	0.03521921417440364	-0.03322390730723773	0.0	0.0	0.22612502604582646	0.018952489568182983	0.10820004966040608	0.05079548068582797	0.027788012645662573	0.006184866154235728	0.05411611601461573	0.0	0.05496456028364527	0.07667303089122751	0.018440497336872086	0.036459698209122635	0.16039400055518627	0.05671411087978194	0.03757730410832702	0.00545344868093443	0.07591235671899414	0.05826179025328744	-0.16594399634259646	-0.07128394694794363	0.045833544546951946	-0.00027501296996129844	0.1656046186349846	0.061576574242288865	0.0	0.04450529041543684	0.07081291409513761	0.03828824189237587	0.05203889039044006	0.02866278794373086	0.0	0.0	0.06205345843488136	0.0	0.036082286792899154	0.037510013700783294	0.0	0.06300722682006624	0.04938823346719625
s__Actinomyces_odontolyticus	0.07099430562851629	-0.09249212800378778	0.22495183241865122	0.421992774056125	0.0	0.0	0.05862457332004495	0.536143636279311	-0.08882918929749484	-0.10899875754125127	-0.04854564053795312	-0.2068068277409927	-0.12803024019655077	0.0	-0.050804257695507504	0.5621733213191569	-0.05536830272890762	-0.11450194261037014	0.12982952718087204	-0.15154970046802696	-0.10613160104591024	0.0810205763525304	-0.04939701047687586	-0.1624770775191483	-0.1288318737472891	-0.10987645850921282	0.025260233857933335	-0.21976754536789184	0.49511111602710833	-0.011064883536101928	0.0	-0.09669046430053715	0.28723349310520263	-0.10037095702618933	-0.11447561158133139	-0.10031829496811157	0.0	0.0	0.08210307421301627	0.0	-0.08322945712190025	0.007568708013721741	0.0	0.47098311641784585	0.14574809706980119
s__Actinomyces_oris	-0.026486089543186264	0.06125328771908972	-0.015169598396268715	-0.12797757813847307	0.0	0.0	-0.08022771981147178	-0.362566567185342	-0.15187737549606603	-0.0776267992764123	0.0414684450662899	0.06323250340184301	-0.7877834294637787	0.0	0.06435596064083379	-0.3179501013139633	0.27405042456642015	0.041067628290920775	-0.04455795247351457	0.060722278633473	0.043200441643067314	-0.09123994128949595	-0.016638284682657732	0.053747481608072	0.04969250313608957	0.003042696688933407	0.12205602227462586	0.022647610643301105	0.02352238594136946	0.051491790120410746	0.0	0.058726971766307104	-0.07811831181847084	0.05250114623356652	0.044154210028252205	0.030637615121644368	0.0	0.0	-0.02684302127015729	0.0	0.039783259207803685	0.008563435777411506	0.0	-0.38687888399787684	-0.13033566807239644
s__Actinomyces_viscosus	-0.06319739536312459	0.04407960544597551	-0.05870649207705465	-0.18944005125492697	0.0	0.0	-0.05753914978966578	-0.24667785704559259	-0.36820140739965523	-0.12890794116451243	0.04126072250387232	0.00704501310283798	-1.0176123535944042	0.0	-0.043563224709824745	-0.23656089055488913	0.37837981295811596	0.053367144521955276	-0.05794581790482127	0.07621077504810106	0.06439692001933861	-0.15408625626543587	-0.01795776180449325	0.07235766779874989	0.06590364001433938	0.027852377383313073	-0.02733160814232255	-0.01642471078045373	-0.3531078764206099	0.04452577010468926	0.0	0.05828519561243309	-0.10709414644077471	0.07002590889386542	0.07817389954644177	-0.028027917576905363	0.0	0.0	-0.03819754612568649	0.0	0.057246582800345294	-0.07213824255675955	0.0	-0.21369092899970452	-0.1749696879631344
s__Aggregatibacter_aphrophilus	-0.008504922379547402	0.004722031207633122	-0.021509525054844332	0.0024955964189039906	0.0	0.0	0.010725505828490089	0.003996465074118244	-0.008329382185955064	-0.015804468763094263	0.004874166042079786	-0.014672234514423853	-0.13695353337082658	0.0	-0.025500138789176174	-0.004435315558098981	0.0012434097046121648	0.0053627529142450505	0.01282613681181141	-0.015693293307152453	0.006606162618857243	-0.009283150571139955	-0.011720233592179847	-0.02281729949710702	0.006249230891886127	-0.026164265854933737	-0.025365557974088668	-0.004019870433263958	-0.010532411615538586	-0.0013662878401268133	0.0	0.007826166964323799	-0.0023259075650981067	0.0067553717834106936	0.005968366582138542	-0.017273155049483256	0.0	0.0	-0.0037945938514870768	0.0	0.004830280993681702	-0.017992869843211745	0.0	0.008466888670935709	0.009312407270071998
s__Aggregatibacter_segnis	-0.003431810784729646	0.00401987043326387	-0.009081279348508811	0.0023288332349913187	0.0	0.0	0.0025277787877292903	0.04770304760871011	-0.018563375472386692	0.01192210481481103	0.003990613734331837	-0.0013487338207676023	0.010640661401587152	0.0	-0.014689788533783114	0.01654466324607516	0.004912199750691449	0.007685734809449941	0.015476793735055302	-0.01833517322071669	0.01076646520699496	-0.010798647575820207	-0.010447567188635577	-0.027270169074565233	0.006942614656575833	-0.016073630393269124	-0.00919245480445064	-0.002644805583457441	0.006328223979002703	-0.002074299954282384	0.0	0.012121050367548954	-0.0029783319512828657	0.012042057280432422	0.008633651854848393	-0.0046488894603029796	0.0	0.0	-0.004236370005361053	0.0	0.009154421095838949	-0.0242421007350979	0.0	0.010567519654257042	0.010912748701655239
s__Alistipes_putredinis	-0.0011293085787771901	-0.1640715676109451	-0.0016793345186997548	-0.00454063967425445	0.0	0.0	-0.0035605402600306785	-0.018759395355231454	0.0033323380083606653	-0.0006641270657575598	0.0014686862863889979	0.00017261452369908716	0.004988267167914794	0.0	0.003929174666574466	-0.004335842781730029	-0.01243409704612192	0.0024546370403991345	-0.007548228324469284	-0.001568159062757938	0.003270898940603354	-0.0013165514519423106	-0.0017905099746415784	0.0031743518341276074	0.0031977571932732297	-0.007896383041760697	-0.000991802093796549	-0.0026682109426031317	-0.0071269318598477845	0.0022176577790495077	0.0	0.003291378629855805	-0.0035810199492831017	-0.23455973234793692	0.0010239844626217845	0.004391430509700936	0.0	0.0	0.004713254197953516	0.0	0.0018841314112241414	-0.003507878201952988	0.0	-0.011500808350189462	-0.0021708470607582483
s__Atopobium_parvulum	-0.11958968255465385	-0.025707861351593694	-0.08823820397906752	-0.1056986019017158	0.0	0.0	-0.03504367398081134	-0.1917015940823746	-0.04748947370650612	-0.043788501291601535	-0.02007594680717379	-0.010125743500383044	-0.048381803023933675	0.0	-0.07389657016257578	0.09408661809558458	-0.01687233827411417	-0.039072321423754844	0.12725201200495828	-0.07129272395762318	-0.043077563507552694	-0.08527742604714385	-0.005280834157235332	-0.06478310844524168	-0.06061695451731758	-0.08573675622037707	0.16355372403984775	-0.13861531387016707	0.03197757193273236	-0.06894341103337949	0.0	-0.03927126697649281	-0.03042404121944041	-0.03949361788837636	-0.04436485826056301	-0.03380611561598554	0.0	0.0	-0.06138640569923052	0.0	-0.030675648830256072	-0.04138360063938688	0.0	-0.050280562784623783	-0.05692183344219952
s__Bacteroides_stercoris	-0.0016266724606220787	-0.05651077682220422	-0.0013253284616219338	-0.005705056291750063	0.0	0.0	-0.03139828929387778	-0.001980678517699877	-0.011471551651257426	-0.003083656067438236	0.0009976534335829571	-0.0042041876365358066	0.003958431365506594	0.0	-0.003932100336467742	-0.002021637896204777	-0.00684606755010011	0.0018665773918648877	-0.004458720917244634	-0.00048566120227204636	0.002776460728651681	6.143906775729865e-05	-0.006916283627537005	0.001936793469301816	0.0020655229446028423	-0.002185475410224255	-0.0008250389098838844	-0.00550903640890533	-0.004277329383865939	-0.00027793863985449093	0.0	0.0018197666735736196	-0.0012668150637578275	0.0004593301732332088	-0.0004066681151554789	-0.0029578522620304065	0.0	0.0	-0.0010122817830490005	0.0	0.0015447537036123228	-0.010678695110198795	0.0	-0.005295462506701316	-0.0009245116862528023
s__Bacteroides_unclassified	-0.0020655229446027946	4.069934496476412	-0.0019923811972727048	-0.00804266653642097	0.0	0.0	-0.052489443553993695	-0.01831469353146426	-0.009455765094839075	-0.003112912766370255	0.003256270591137319	-0.009502575813130352	0.0009713224045441247	0.0	-0.00715618855877982	-0.005582178156235438	-0.006032731319789068	0.00448212627639028	-0.024242100735097874	-0.004324140102157242	-0.0007431201528740777	-0.0013955445390588465	-0.0034610674836617243	0.002375643953282556	0.003970134045079427	-0.007106452170595337	-0.0074692352373527515	-0.009514278492703199	-0.011026849827490238	-0.002255691487661189	0.0	0.006588608599498026	-0.002600920535059377	0.007220553296430319	-0.021178924356912036	-0.004856612022720549	0.0	0.0	-0.0005880596485342227	0.0	-0.0038004451912735005	-0.004739585226992365	0.0	-0.01675531147838591	-0.0023259075650980928
