Function	CompletedNoErrors	HoursRunning
ko00906	1	3.09
ko00010	1	1
ko00642	1	1
ko00071	1	1
ko04122	1	1
ko00350	1	1
ko02030	1	1
ko00625	1	1
ko00460	1	1
ko00626	1	1
ko00970	1	1
ko00980	1	1
ko00540	1	2.85
ko00982	1	1
ko00604	1	1
ko00561	1	1
ko00603	1	1
ko00930	1	1
ko00730	1	1
ko00260	1	1
ko00473	1	1
ko00270	1	1
ko04973	1	1
ko00300	1	1
ko04070	1	1
ko00650	1	1
ko03018	1	3.07
ko00564	1	1
ko03450	1	1
ko00040	1	1
ko00531	1	1
ko00051	1	1
ko03430	1	1
ko00521	1	1
ko03410	1	1
ko00562	1	1
ko03440	1	1
ko00052	1	1
ko00511	1	1
ko00620	1	1
ko00944	1	2.86
ko00053	1	1
ko04614	1	2.83
ko00500	1	1
ko05150	1	1
ko00520	1	1
ko04112	1	1
ko00340	1	3.11
ko00791	1	1
ko00400	1	1
ko00121	1	1
ko00630	1	2.88
ko00312	1	1
ko00640	1	1
ko00660	1	1
ko00680	1	3.11
ko00901	1	3.11
ko00072	1	1
ko00984	1	2.86
ko00280	1	2.84
ko00253	1	1
ko00900	1	1
ko03420	1	1
ko00281	1	1
ko03030	1	1
ko00310	1	1
ko03010	1	1
ko00380	1	1
ko03060	1	1
ko00020	1	3.07
ko02010	1	1
ko00710	1	2.82
ko00196	1	3.17
ko00720	1	3.04
ko00195	1	1
ko04964	1	3.07
ko02040	1	2.83
ko02020	1	1
ko05111	1	1
ko00480	1	1
ko03070	1	1
ko04146	1	1
ko05131	1	1
ko00030	1	1
ko02060	1	1
ko00120	1	2.54
ko03020	1	1
ko00290	1	1
ko00785	1	1
ko00770	1	1
ko01056	1	3.04
ko00360	1	2.47
ko00365	1	1
ko00622	1	1
ko00623	1	2.82
ko00061	1	1
ko00780	1	1
ko01040	1	1
ko00523	1	3.11
ko00790	1	1
ko00230	1	1
ko00362	1	1
ko00550	1	1
ko05204	1	1
ko00740	1	1
ko00940	1	1
ko00983	1	1
ko00750	1	1
ko00363	1	1
ko00591	1	1
ko00232	1	2.79
ko00440	1	1
ko00330	1	2.42
ko00410	1	2.83
ko00903	1	1
ko00621	1	1
ko00250	1	3.20
ko00627	1	1
ko00643	1	3.13
ko00760	1	3.08
ko00633	1	3.07
ko00351	1	3.10
ko00240	1	1
ko00401	1	2.87
ko00860	1	3.10
ko01053	1	2.52
ko00361	1	2.86
ko00364	1	3.06
ko00624	1	1
ko00592	1	2.84
ko00190	1	3.12
ko05134	1	3.11
ko00430	1	1
ko00910	1	3.14
ko00471	1	3.09
ko00311	1	1
ko00472	1	3.10
ko00960	1	2.83
ko00908	1	1
ko00670	1	1
ko00130	1	2.82
ko00920	1	1
ko00450	1	1
ko00941	1	3.13
ko00945	1	1
ko00965	1	3.08
