KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ko00020	0.2394361233545118	0.9564356362763983	8.638054588842644e-115	0.9444691424867313	6.035850517012477e-104	1.6110813755033637	1.151897712995874
ko00120	0.7328161233329337	0.9487149707434561	1.7154554221350144e-107	0.5144301598777377	8.67590778762331e-16	0.007550617404607439	0.00707789625533205
ko00130	-3.1614048611933425	0.9141336691389101	1.1072983819757477e-84	0.897721543508982	4.692560038429935e-77	1.632242013666317	1.0186802208389298
ko00190	0.6371270082173253	0.943357614464491	4.603633205908253e-103	0.9438370657732322	1.9262189071129283e-103	1.6103496722123607	0.9184504498154363
ko00196	-0.009459878647843034	0	1.0	0	0	0.002157267043223026	0.022179978770520765
ko00232	-1.275224996411326	0	1.0	0	0	0.0006301044567027744	0.0005579806556709348
ko00250	-9.127663330594073	0.6494938269398567	6.604644820469965e-27	0.6247314605318386	1.866451749247082e-24	2.3436249781744345	0.7927656575273363
ko00280	0.5152738848729115	0.7384637161496824	5.706448544635646e-38	0.7191542838409402	3.3086384659469125e-35	0.19413245265380139	0.1739857198543814
ko00330	-3.397495020675671	0.7849074481314541	9.563956115671035e-46	0.7964042409988054	5.6456378571274e-48	2.1087165462335795	1.2841382094902254
ko00340	-1.8829133415278334	0.6340893606485202	2.348636831202605e-25	0.6436937619368123	2.595648805898828e-26	1.2335746490614794	0.9712805785641049
ko00351	0.42957970407150703	0.9667861149357451	5.5515614571444035e-127	0.9275580489661389	3.705613478219506e-92	0.007997762976629292	0.012595069661566757
ko00360	-2.6728601346089516	0.6851711129939896	7.228041801114322e-31	0.7045643637880891	2.8732075711978766e-33	0.4607673254537934	0.2945044853890097
ko00361	-1.1912064441744405	0.10007469209622515	0.1455020835320275	0.15500036012229257	0.023664337652382687	0.045442222409830424	0.046741684887881704
ko00364	-1.4020736462920254	0	1.0	0	0	0.017297898886594006	0.014608577908159125
ko00401	-13.053612390397541	0.7406663651133585	2.6643863389944785e-38	0.7202868063610015	2.3121429312226727e-35	0.8804991435364117	0.48657855853571974
ko00410	-0.39752994060802505	0.7447670351728298	6.320788776450958e-39	0.7568727476834202	7.661354487344126e-41	0.3382904511665576	0.2437254433382561
ko00471	-10.367332682182935	0.6682314354146219	6.427208648917873e-29	0.6967708206566147	2.793477550749849e-32	0.42130858054314113	0.09856376937680318
