Taxa	ko00020	ko00120	ko00130	ko00190	ko00196	ko00232	ko00250	ko00280	ko00330	ko00340	ko00351	ko00360	ko00361	ko00364	ko00401	ko00410	ko00471	ko00472	ko00523	ko00540	ko00592	ko00623	ko00630	ko00633	ko00643	ko00680	ko00710	ko00720	ko00760	ko00860	ko00901	ko00906	ko00910	ko00941	ko00944	ko00960	ko00965	ko00984	ko01053	ko01056	ko02040	ko03018	ko04614	ko04964	ko05134
s__Abiotrophia_defectiva	0.003682511367566002	0.006987853768093642	0.0072786622501174476	0.009368004039107756	0.0	0.0	0.03873787379441312	0.007915447058308673	0.021211196299956107	0.010880291018224398	0.003918260332671391	0.005151796891270868	0.011528621139505294	0.0	0.010883140296757236	0.01728976828196581	0.005922435017605301	0.007225673419592637	0.031510358518647315	0.010009522032122733	0.00886961784171795	0.003953100281700366	0.014294232783788665	0.012567468364177577	0.03482422305834643	0.013848495787602621	0.008856597514283504	0.005245708691742522	0.03308419355765696	0.011874320473097486	0.0	0.009563581508744375	0.012384483578176456	0.011215347252835692	0.008325449855353089	0.0062940367872895385	0.0	0.0	0.011880631760274077	0.0	0.005366519509231494	0.0070331412571477325	0.0	0.01158744344775311	0.009424810194122325
s__Actinomyces_odontolyticus	0.008622425463759973	0.012280065983483673	0.022627207331229512	0.0379929819549579	0.0	0.0	0.012951815606382783	0.05327546818800696	0.010315246777925838	0.01521750104316476	0.005712802569410722	0.019209623375100675	0.014471721952524726	0.0	0.009423466048013847	0.05115259772801543	0.009460359561520987	0.012524800340002027	0.01522951874769839	0.017834089338056792	0.012984511676237704	0.00806477030974792	0.010934771218816933	0.018011766911692175	0.013349583016765898	0.013582959934643552	0.006928798667602834	0.023753154695842712	0.05231069169335309	0.008521237512935917	0.0	0.011199649003001414	0.028171924966672222	0.01457077028556286	0.013522782561322276	0.013467046802873837	0.0	0.0	0.008598528412499012	0.0	0.009501189333581864	0.006286366480671024	0.0	0.04497506830129543	0.015068396106689143
s__Actinomyces_oris	0.006581572978280013	0.007438764163436885	0.003746843383845647	0.02426522060947744	0.0	0.0	0.013273981800711028	0.04373237784975855	0.0223026217354985	0.012175265858492254	0.005441065306721132	0.00927838729144188	0.09630289388452573	0.0	0.009341816446380944	0.05166270039133589	0.03914461092768108	0.006882777935702669	0.008539455848887885	0.00915719628579608	0.007107255211129639	0.0143614442780588	0.005158954152428202	0.007488384179659861	0.0069458065459893775	0.0033367530449832663	0.016943217298207785	0.003835881469414023	0.004624490055271305	0.007774637695724642	0.0	0.009484039865748166	0.014185472792702904	0.009016115185009773	0.005921458023954327	0.005356953638346905	0.0	0.0	0.005880549749836218	0.0	0.005702819180300262	0.0035966980843934134	0.0	0.05227748354857141	0.019421885012516328
s__Actinomyces_viscosus	0.011176918698323822	0.006080570942342703	0.010571721026461077	0.03608038872411013	0.0	0.0	0.010407288816024578	0.030992305722071695	0.05989482768488394	0.019441566886418342	0.005320035905442151	0.006836827939930883	0.15511056395440845	0.0	0.009777494934294523	0.041430768082467206	0.060863561662105894	0.009147319134096105	0.01020995488591634	0.011392400378367659	0.009844950083926173	0.026475120472692057	0.008304553507328975	0.01001516264445146	0.009540254170669678	0.00515327366893499	0.0090671812782442	0.00700969912519324	0.0627064863463087	0.009003384651740129	0.0	0.010646801879497474	0.02142381049207431	0.012616433873486264	0.01050605873870506	0.008959469824045907	0.0	0.0	0.006964145270160156	0.0	0.00868775983838084	0.014978407673729384	0.0	0.02677893803564088	0.026231008741039032
s__Aggregatibacter_aphrophilus	0.0031052267350597644	0.001784948396536755	0.007157968667074024	0.0013589131212590221	0.0	0.0	0.0033084680150408576	0.002142681115119668	0.0020379890483443026	0.005318907877531289	0.0011146693251863138	0.004105852913524512	0.032020890873890956	0.0	0.007351017715374497	0.0016540795539536982	0.0014359009767079631	0.00149656485913287	0.004190214236159309	0.004477245350695062	0.0023709525383358255	0.002839457632492886	0.003710004790782518	0.0070140970475867995	0.0020842605904097078	0.006671163084290732	0.0066628266545655295	0.0016005170691101727	0.0035462254338909805	0.0012752136073905936	0.0	0.0026896845512999284	0.0015017330541003124	0.003032180204731289	0.001792425339490589	0.005371200414548743	0.0	0.0	0.0016071521205811056	0.0	0.0015413133308015213	0.006314597404637386	0.0	0.0028231647740938983	0.002839274161096084
s__Aggregatibacter_segnis	0.0015286306237457072	0.002151514732865594	0.0028863811783131745	0.0012998045230959185	0.0	0.0	0.0016263566038915874	0.012556869666758553	0.004794070578635913	0.0028456217842095116	0.0008048235216011566	0.0013964636450281601	0.0033697668495236335	0.0	0.004148880968027144	0.003722309787813829	0.0015238138240582409	0.002070865627282529	0.0048230430082216525	0.00449105287050729	0.002630859444278941	0.0029865666249171566	0.003127558447577157	0.007074138593091239	0.0024583468904067983	0.003748093256903828	0.002720912167254066	0.0011564212587460436	0.0017873505653124698	0.0011361436318808834	0.0	0.0026832438903209768	0.0012693402447047023	0.0036290862096462423	0.0025468081304641918	0.0013449279996476915	0.0	0.0	0.0019159971338726803	0.0	0.0021945060343010014	0.005914472141733153	0.0	0.002582132495461972	0.003009305906134141
s__Alistipes_putredinis	0.0013644467479986995	0.11029696543828849	0.0014661402200187232	0.003743817083598292	0.0	0.0	0.0015284424246669915	0.011566775919850367	0.0025470882890048173	0.0010443116518760558	0.0007189404685228358	0.0009072630176777452	0.0023531784714071985	0.0	0.002232050466595028	0.0034628485550671183	0.0073417407045870044	0.0010433578085841202	0.003898454470056283	0.0016549863281794847	0.0019275648493385976	0.001544828407235237	0.001373593454055083	0.001580023979733517	0.0013972354522534826	0.005511490670482923	0.0010405280423810845	0.0021475999880723666	0.005437333591770569	0.00124049658053526	0.0	0.0015352583592634754	0.002868083051565812	0.12451750172671296	0.0017575835776012852	0.0029608552611102602	0.0	0.0	0.0025394688612737784	0.0	0.0015915662977731917	0.0026874533363664592	0.0	0.0060268057584249085	0.0016936867503458014
s__Atopobium_parvulum	0.017033237597052105	0.004055744044885384	0.01466193249286102	0.016572707940105277	0.0	0.0	0.006973604736575675	0.028951877382128528	0.006933938937045248	0.008754677010280895	0.0021775939714922983	0.005119312124446701	0.0068705880282785865	0.0	0.011971428524138595	0.012500330623753773	0.00466847827507876	0.005169932164224127	0.013581847107329192	0.011626534456347802	0.006066064063846259	0.011636573419566733	0.0037718353612621507	0.009789705406298723	0.008378389106482637	0.014994324676031042	0.01897760357838585	0.01964388861466477	0.006166577370458115	0.011676439572592456	0.0	0.005613820187440909	0.0064172199501839255	0.006363381955414759	0.005607628537113278	0.005667583474117487	0.0	0.0	0.009909215257024942	0.0	0.00527233660299484	0.005402489583656	0.0	0.008478687882729905	0.009376510586299295
s__Bacteroides_stercoris	0.002070327195212224	0.05346149072929281	0.0021354234071087105	0.004553505948981496	0.0	0.0	0.017103413508615373	0.0031457236635905744	0.008318996902110807	0.006687770469244911	0.0008352944330842443	0.008304233542110356	0.0016981234235798651	0.0	0.002881874638603134	0.002716455034169652	0.006663491104984013	0.0012903999311128444	0.0053841187779796905	0.001790095601162575	0.0016260468110324677	0.0012977928686734614	0.005122246171942788	0.0014551815898716724	0.0012705317326705153	0.006612591884198536	0.004273799433316364	0.003730536204749017	0.0031747194495538506	0.0016242032196428196	0.0	0.0014048202868930152	0.003925003791082869	0.0021298445330078814	0.0018399490051565195	0.0028524285909429787	0.0	0.0	0.0013054794835815576	0.0	0.0013818374385607536	0.007207798988849475	0.0	0.005144831251797213	0.0017672589320321661
s__Bacteroides_unclassified	0.005990015818862329	0.783630621453932	0.0038244131576580355	0.011450052015798122	0.0	0.0	0.04133938057761131	0.021104571979460224	0.020731493981615143	0.01409443259550259	0.0015893457027245407	0.020000648956774683	0.00343627891369867	0.0	0.007515146006248801	0.006490291537629495	0.01349110929049244	0.00241988758299391	0.02744278658874797	0.004525068750167444	0.003196918749643724	0.0027417716556861886	0.010612942669183844	0.002289128371267399	0.00290882635162782	0.013471562247877584	0.010619095618958537	0.011688747903677577	0.011718610472229156	0.00305106294338002	0.0	0.003017033439511077	0.008037691950670691	0.004856799945436747	0.1266119701123059	0.008429744086525966	0.0	0.0	0.0024117281472224596	0.0	0.003894446254036402	0.012143460318027825	0.0	0.012468230064688095	0.003526167985232303
