KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
ko00020	0.2394361233545118	0.9564356362763983	0.9444691424867313
ko00120	0.7328161233329337	0.9487149707434561	0.5144301598777377
ko00130	-3.1614048611933425	0.9141336691389101	0.897721543508982
ko00190	0.6371270082173253	0.943357614464491	0.9438370657732322
ko00196	-0.009459878647843034	None	None
ko00232	-1.275224996411326	None	None
ko00250	-9.127663330594073	0.6494938269398567	0.6247314605318386
ko00280	0.5152738848729115	0.7384637161496824	0.7191542838409402
ko00330	-3.397495020675671	0.7849074481314541	0.7964042409988054
ko00340	-1.8829133415278334	0.6340893606485202	0.6436937619368123
ko00351	0.42957970407150703	0.9667861149357451	0.9275580489661389
ko00360	-2.6728601346089516	0.6851711129939896	0.7045643637880891
ko00361	-1.1912064441744405	0.10007469209622515	0.15500036012229257
ko00364	-1.4020736462920254	None	None
ko00401	-13.053612390397541	0.7406663651133585	0.7202868063610015
ko00410	-0.39752994060802505	0.7447670351728298	0.7568727476834202
ko00471	-10.367332682182935	0.6682314354146219	0.6967708206566147
ko00472	0.6969904342870834	0.9687229998638693	0.9772241276968814
ko00523	-0.4570996940190173	0.5888126214216989	0.5925390111786927
ko00540	-1.431191921694908	0.9481286663082292	0.9510780074557733
ko00592	0.21120831824743114	0.9463647639249892	0.9237906720875421
ko00623	0.6917204259193745	0.9496333614332244	0.9478331814196767
ko00630	-1.078516787649407	0.8405648779152463	0.85849677504278
ko00633	0.5160049943987592	0.9032564393505336	0.9120382673398885
ko00643	-0.8891673117584711	0.8696302615686216	0.9160157559712002
ko00680	0.6167290843670177	0.9022684893934391	0.9023733300880934
ko00710	-1.1566850798048751	0.7949257318637203	0.8034440109179144
ko00720	-3.5064227814899294	0.924845257920996	0.9304889467292203
ko00760	-19.480374612528394	0.609639093274733	0.6028149145268366
ko00860	-0.7592246354878542	0.9132090755398181	0.8746712331829098
ko00901	-0.3707704974704662	None	None
ko00906	0.5989907273273166	0.8624806952043392	0.8753480147327272
ko00910	0.5296957225470362	0.9621953522088128	0.9654605467401483
ko00941	-1.5260041145239165	0.5384049102192902	0.5155077710379256
ko00944	-0.548036227726914	0.4210284502187367	0.6665044046681784
ko00960	-0.1875291010439626	0.9156208107452869	0.926522634306988
ko00965	-0.4147591902659189	None	None
ko00984	-0.39734728519200346	None	None
ko01053	-3.263683382599731	0.9204762795222999	0.9132018348851706
ko01056	-1.0837208765976842	None	None
ko02040	0.17705629646518983	0.9557039137665405	0.9018269376442041
ko03018	0.5087598580954964	0.9060689297217213	0.9098216525391105
ko04614	-3.9654209960693887	None	None
ko04964	0.7861047711275405	0.9341347668308274	0.9321132224487819
ko05134	0.5937372266811087	0.901354112799688	0.9210922384953346
