# PyCode/FiShTaCo/fishtaco/compute_contribution_to_DA.py {'multiple_hypothesis_correction': 'FDR-0.1', 'write_log': True, 'single_function_filter': 'M00002', 'taxa_abun_file': 'IGC/QIN_T2D/genus_vs_sample.tab', 'perform_inference_on_ko_level': False, 'number_of_shapley_orderings_per_taxa': '5', 'function_abun_file': 'IGC/Data//WGS_KO_vs_SAMPLE_MUSiCC.tab', 'functional_profile_already_corrected_with_musicc': True, 'score_to_compute': 'wilcoxon', 'case_label': '1', 'max_da_functions_cases_controls': '200', 'max_score_cutoff': '100', 'normalization_mode': 'scale_permuted', 'class_file': 'IGC/QIN_T2D/sample_vs_class.tab', 'map_function_level': 'module', 'na_rep': '0', 'taxa_assessment_method': 'multi_taxa', 'output_pref': 'IGC/QIN_T2D/Output_Genus_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_511_GENOMES_MEAN/Parallel/M00002/module_with_t2f', 'apply_inference': False, 'taxa_to_function_file': 'IGC/Data//genus_vs_KO_511_GENOMES_MEAN.tab', 'residual_mode': 'remove_residual', 'control_label': '0', 'number_of_permutations': '100', 'map_function_file': '/net/gs/vol1/home/ohadm/MUSiCC/Matrices/KOvsMODULE_BACTERIAL_KEGG_2013_07_15', 'da_result_file': 'IGC/QIN_T2D/Output_Genus_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_511_GENOMES_MEAN/Parallel/DA_of_MODULE.tab', 'permutation_mode': 'blocks'}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
M00002	8.702449486753624	8.405239244914643	2.5663097622831	0.010278699042864128	1.988061849762848	0.0	0.0	0.0	1.0	M00002
M00003	11.261439259928341	10.730659026052074	2.581424754572525	0.009839343817513106	2.007033863553969	0.0	0.0	0.0	1.0	M00003
M00004	8.294969321622224	7.721183141395061	2.5112480046573373	0.012030514474749131	1.9197158000278125	0.0	0.0	0.0	1.0	M00004
M00005	1.0855720633668269	1.0578092945803474	2.2640099164945986	0.023573504872305143	1.6275758424421132	0.0	0.0	0.0	1.0	M00005
M00006	1.6850720038474083	1.4471133537206482	2.9938481156125523	0.0027548304414322915	2.5599051266185384	0.0	0.0	1.0	1.0	M00006
M00013	0.2449539891572968	0.18504100437064835	4.103720406578908	4.065587595335274e-05	4.3908766773836465	1.0	1.0	1.0	1.0	M00013
M00014	2.043045073598268	1.9166747943125604	2.367655577907799	0.01790119193166451	1.7471180510250923	0.0	0.0	0.0	1.0	M00014
M00018	4.647082623796671	4.472397302410285	2.4831773046912624	0.013021625565842484	1.8853347968578364	0.0	0.0	0.0	1.0	M00018
M00020	2.893461051248289	2.6170406070598005	5.4543529318696775	4.915149459325687e-08	7.308463271652083	1.0	1.0	1.0	1.0	M00020
M00027	0.5900970829025506	0.4577988587196018	3.8478451799650686	0.00011916131524726166	3.923864711889725	1.0	1.0	1.0	1.0	M00027
M00033	2.3079771201383474	2.1987543692674696	3.3015461729329916	0.0009615350744610316	3.017034869130074	0.0	0.0	1.0	1.0	M00033
M00035	3.725662042308586	3.498059521725749	2.96901634256564	0.0029875470714207674	2.5246852432999582	0.0	0.0	1.0	1.0	M00035
M00036	2.1559541742322272	1.9556676509080515	3.1968208692134032	0.0013895118748011145	2.857137737379908	0.0	0.0	1.0	1.0	M00036
M00038	0.2763656891809728	0.22218822870837726	3.208696934583666	0.0013333795919253668	2.875046196264622	0.0	0.0	1.0	1.0	M00038
M00040	0.1470039684805418	0.09981182595230174	2.3633370086822487	0.01811119146117612	1.742052978289281	0.0	0.0	0.0	1.0	M00040
M00044	0.02826718046328725	0.02228219928904254	2.459425173950737	0.01391597030126674	1.8564865067719436	0.0	0.0	0.0	1.0	M00044
M00046	0.25043936451610704	0.16062836617789336	5.248141251349663	1.5364148024752948e-07	6.813491517308495	1.0	1.0	1.0	1.0	M00046
M00064	0.946513333738264	0.7870374040015484	3.279953326805241	0.0010382426113562807	2.983701150859658	0.0	0.0	1.0	1.0	M00064
M00088	0.4768089634960284	0.37150599223778896	2.5403983469297997	0.011072627602779612	1.9557493061334053	0.0	0.0	0.0	1.0	M00088
M00095	0.5301275687537479	0.40430127720661796	2.330947739490624	0.0197561155434512	1.7042984425359733	0.0	0.0	0.0	1.0	M00095
M00097	0.015540209975049906	0.008675539668688751	2.374133431746124	0.017590192561399383	1.754729406256272	0.0	0.0	0.0	1.0	M00097
M00117	1.8828120483675737	1.6139522201461325	2.671035066002688	0.007561774684529481	2.1213762672965943	0.0	0.0	1.0	1.0	M00117
M00129	2.3518887129774373	2.1950689703343924	2.7250171813220634	0.0064298141017364715	2.191801583181086	0.0	0.0	1.0	1.0	M00129
M00134	0.32081697123971664	0.2354997646173693	4.0734904220000585	4.631375703811042e-05	4.334289986988475	1.0	1.0	1.0	1.0	M00134
M00135	0.9280391164733734	0.8345513855466665	3.1525555346515155	0.0016184803219288545	2.7908925765392367	0.0	0.0	1.0	1.0	M00135
M00159	4.44547108782545	3.8297282160006993	3.314501880609641	0.0009180656232075572	3.037126274377928	0.0	0.0	1.0	1.0	M00159
M00175	0.2317416181891588	0.18587915844343866	3.1957412269070162	0.0013947213956989211	2.8555125367593246	0.0	0.0	1.0	1.0	M00175
M00190	1.1144971268854382	0.8426163008781199	3.0575470116894152	0.002231566343366729	2.6513901972707807	0.0	0.0	1.0	1.0	M00190
M00192	0.0919201035923222	0.049582552882413984	2.3849298548099997	0.017082378159599086	1.7674516682082313	0.0	0.0	0.0	1.0	M00192
M00193	0.3954900606151057	0.2616559922103866	3.2443251306944534	0.0011772928033522887	2.929115510762689	0.0	0.0	1.0	1.0	M00193
M00198	0.6669399047110212	0.4292301053819114	3.125564476991828	0.0017746416157399946	2.7508893383956163	0.0	0.0	1.0	1.0	M00198
