# PyCode/FiShTaCo/fishtaco/compute_contribution_to_DA.py {'multiple_hypothesis_correction': 'FDR-0.1', 'write_log': True, 'single_function_filter': 'M00002', 'taxa_abun_file': 'IGC/QIN_T2D/genus_vs_sample.tab', 'perform_inference_on_ko_level': False, 'number_of_shapley_orderings_per_taxa': '5', 'function_abun_file': 'IGC/Data//WGS_KO_vs_SAMPLE_MUSiCC.tab', 'functional_profile_already_corrected_with_musicc': True, 'score_to_compute': 'wilcoxon', 'case_label': '1', 'max_da_functions_cases_controls': '200', 'max_score_cutoff': '100', 'normalization_mode': 'scale_permuted', 'class_file': 'IGC/QIN_T2D/sample_vs_class.tab', 'map_function_level': 'module', 'na_rep': '0', 'taxa_assessment_method': 'multi_taxa', 'output_pref': 'IGC/QIN_T2D/Output_Genus_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_511_GENOMES_MEAN/Parallel/M00002/module_with_t2f', 'apply_inference': False, 'taxa_to_function_file': 'IGC/Data//genus_vs_KO_511_GENOMES_MEAN.tab', 'residual_mode': 'remove_residual', 'control_label': '0', 'number_of_permutations': '100', 'map_function_file': '/net/gs/vol1/home/ohadm/MUSiCC/Matrices/KOvsMODULE_BACTERIAL_KEGG_2013_07_15', 'da_result_file': 'IGC/QIN_T2D/Output_Genus_REMOVE_RESIDUAL_SCALE_PERMUTED_MAPPING_511_GENOMES_MEAN/Parallel/DA_of_MODULE.tab', 'permutation_mode': 'blocks'}
Taxa	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
Acidaminococcus	0.0034964851315298136	0.0005632273649120287	3.457014665052792	0.0005461951242777935	3.2626521809972755	1.0	1.0	1.0	1.0	Acidaminococcus
Akkermansia	0.007054739686449952	0.0030216055903630316	1.5374106442958075	0.12419278140842809	0.9059036463944979	0.0	0.0	0.0	0.0	Akkermansia
Alistipes	0.03214466487019766	0.024896964342636812	1.0440141102767175	0.2964788613966328	0.528006265895216	0.0	0.0	0.0	0.0	Alistipes
Anaerostipes	0.0004761580961296225	0.00018631189313119008	2.2229835088518732	0.026216912001809537	1.5814184636586315	0.0	0.0	0.0	1.0	Anaerostipes
Anaerotruncus	0.001580952496582278	0.0010707458568663013	2.083709651327885	0.03718658579596372	1.4296136935969184	0.0	0.0	0.0	0.0	Anaerotruncus
Bacteroides	0.5398795477401832	0.5343281235269723	-0.21160989205195105	0.8324113913558903	-0.07966198520097564	0.0	0.0	0.0	0.0	Bacteroides
Bifidobacterium	0.026080707773652092	0.010391523988593632	1.2415886523456312	0.2143883706928973	0.6687987762594996	0.0	0.0	0.0	0.0	Bifidobacterium
Bilophila	0.005379260464821836	0.003851782779258789	1.8451087016162466	0.065021727665233	1.1869414952288646	0.0	0.0	0.0	0.0	Bilophila
Blautia	0.02278446573419838	0.02184143909722267	1.0742440948555678	0.28271329406801216	0.5486537691382392	0.0	0.0	0.0	0.0	Blautia
Butyrivibrio	0.0008892134858364314	0.0007739806563048293	-3.723686314730506	0.00019633484732310016	-3.707002610960407	1.0	1.0	1.0	1.0	Butyrivibrio
Capnocytophaga	0.002050591495630652	0.002177672231035836	-0.48475939556798986	0.627847028628856	-0.2021461567642839	0.0	0.0	0.0	0.0	Capnocytophaga
Citrobacter	0.00031022223291136334	0.00038242745175170637	-0.49771510324463997	0.618684861269623	-0.20853051069327466	0.0	0.0	0.0	0.0	Citrobacter
