Taxa	ko00010	ko00053	ko00071	ko00072	ko00260	ko00280	ko00310	ko00311	ko00312	ko00360	ko00361	ko00362	ko00363	ko00364	ko00380	ko00410	ko00561	ko00562	ko00564	ko00591	ko00592	ko00620	ko00625	ko00627	ko00640	ko00642	ko00643	ko00650	ko00680	ko00785	ko00791	ko00903	ko00906	ko00930	ko00945	ko00982	ko02010	ko03030	ko03410	ko03430	ko03450	ko04070	ko05150
Acidaminococcus	-0.180394104077177	0.03211022664052008	0.06268038851607449	0.28778333521758376	-0.03896019719378002	0.006457205679215362	0.008035777686442204	0.1559245960091534	0.25094566981306554	0.029359432999133035	-0.04369802751497719	0.2541003846323299	0.14762745491437324	-0.03168016912180909	0.07685366280375307	-0.019913507505260445	-0.09810817602373902	-0.15527343674311345	-0.13199814802124277	0.05955995234003802	-0.04592191072575104	-0.04533386554953865	0.0785191910017402	-0.06579403194259997	-0.08994288624562645	-0.11311596882915896	0.37846015330607324	0.2236779987974623	-0.04472737648392546	-0.09808829261126299	-0.04284978854292541	0.042309607508962864	-0.059056209233916086	-0.03560835768340781	-0.04203983188765426	-0.021427885780353307	0.01571014511082118	-0.0858056519424534	0.07237760075675877	-0.12141675371672322	-0.06490859029607392	-0.09975148158425297	-0.047592792150174014
Akkermansia	-0.027620759034888132	-0.06697664513395918	-0.05742959314405498	-0.0566416342007765	-0.06236981141260369	-0.007992726949475006	0.015030285353469761	-0.011055537217408056	0.01957670409076364	-0.1153900104220838	-0.042157737824531	-0.07062421666608928	-0.059477449673791566	-0.020932509902105843	0.07480666099084236	-0.007638289377307198	-0.03540668949759385	-0.049709385906750586	-0.01014953738196454	-0.06291853961482514	-0.04807989077073919	-0.11138417758461731	-0.06788457932853498	-0.10041019834643768	-0.07941799322180777	-0.14805593795472075	-0.059739532843667134	-0.05163686231932498	-0.2154524289905764	0.09586180026491535	-0.0577365714398378	-0.08077141482305672	0.6482855731160335	-0.03033196579170767	-0.03626046163646583	0.06520243294379569	-0.08070218276015964	-0.08215322201994443	-0.0347014131609462	-0.13573488001384215	-0.08207166404071609	-0.033501075841723786	-0.05039104506794603
Alistipes	-0.3109925858183804	-0.1187673114968483	-0.05664401841086976	-0.13223054102769274	-0.1373102130941498	-0.023119010498021054	0.07273473743469255	-0.03833724358299444	-0.10185480473748021	-0.19010836566928282	-0.058157811879713375	-0.1354102675603883	-0.1697736177241468	-0.024370720796989046	0.09478247285420056	0.06626907455741052	-0.17840004972237528	-0.21915308293610383	0.029050790254794498	-0.258411306391543	-0.057417672093588605	-0.28154331758233697	-0.4014669709744223	0.1378383831074538	-0.28941408993628615	0.21505188169490652	-0.07383313852615352	-0.1351386025650435	-0.029393711642360824	0.03117413177578603	0.35788932357660724	0.13460782341616576	-0.08135374689206448	-0.038498110286646174	1.217392293781124	-0.12286819784237295	-0.16350368499999374	-0.14835108517022946	-0.13928591352974282	-0.23648183678968052	-0.14818940873484798	-0.11308173517102736	-0.1256295179962473
Anaerostipes	0.017735868973276846	0.013429265783289289	0.016594687055425245	0.00995889054469494	0.004496305340239069	0.00889251884165679	-0.004223920583356713	-0.009315963551241183	0.000878334001342334	-0.007269231648907074	-0.0025879026084108486	0.0009525144248103711	0.04081331324250197	-0.0021041328849570463	0.0005553859964441758	0.002180877458902762	0.014903562337757524	0.0719958122461625	0.017919048284593925	0.05002234722031465	-0.003580453768749763	0.0029078366118703443	0.03268729545328421	-0.001128226210174947	0.005474011418865154	-0.0031773873076984273	0.04021789051052926	0.021080870749041934	0.01832535367256441	-0.0052037859465955795	-0.006681186472694672	-0.0009631309074898566	-0.002884624302283015	-0.001492965369349522	-0.003601011957667226	0.011934770920672385	0.0036646208835518896	-0.010674018617388368	0.014309714084148288	-0.002677108053976119	-0.005636902451841362	-0.005974875478836758	0.03175844318902216
Anaerotruncus	0.021911025712461726	0.01662554683134949	0.0014580569347763203	0.04070804811762918	0.00043500587928197067	0.010684725070260043	-0.0026701803491767954	-0.017927235572084022	-0.021134403013400315	-0.009232831093649347	0.03535158275487199	0.017123891725939526	0.029317191993895618	-0.005884275495292396	0.014789929985010237	-0.0003413019241067494	0.04743516437344144	0.03804632496651908	-0.01062867364052009	0.026222172397155324	-0.004841026131649373	0.01665208803804819	0.05422175092629722	0.025795398790459577	0.016204081465993468	0.0642174842646976	-0.010173424467993367	0.036692723424885755	0.029150432242654838	-0.01654362897135234	0.03371003161310588	0.03837889978198255	-0.007809682593446217	-0.004473587866708828	-0.005281970043616473	0.009893572185158506	0.04239462934059086	0.00929207646521236	0.008141492662275974	0.032067580769417785	-0.00891888010797108	0.006320540957265149	-0.012210619529954387
Bacteroides	0.09374705089727887	0.04644472751261921	0.13068530297667555	0.08177107362857937	0.04937379708984849	0.013229711896991975	0.09087173850988842	-0.18044646672903672	-0.3910582294687323	0.06317958812749039	0.05733017608167512	0.10948621139508424	-0.12829771900119571	0.03068739303598965	0.13222478293539197	0.13765605851296261	0.24701329763752952	-0.035787578306268136	0.08626315036978506	-0.28799948860434194	0.05332456816968918	0.03675552261904062	0.15459528641941378	0.1615090008538466	0.10487933268863255	0.03649469903185586	0.022954140120816424	0.10535086646594737	0.1457338072940656	-0.2237912262843446	0.025977048608509263	0.11190699437148548	-0.002980892407935888	0.0685736160454907	0.007402432518457604	0.04713227972140362	0.14502916074876335	-0.21887503005711303	0.1764406788766664	-0.02058261582464409	-0.265690884612553	-0.3189685333270102	-0.010551029364652355
Bifidobacterium	-0.2717673364383824	-0.23753597254657968	0.47155024185991534	-0.21940252529397555	-0.10978891610673759	-0.39415576823085435	-0.47411808111546583	-0.4170014042998789	-0.5121202757027116	-0.4571353526210864	0.2931001687106775	-0.013573982837441313	-0.43308560048476735	-0.09306413215339271	-0.2686214386979538	-0.4660360137651373	-0.3382929160137521	-0.05999374362172529	-0.6558368163323877	-0.40934174700192444	-0.19744093633349796	-0.5145970651237564	0.32552929469744674	-0.4312315847341234	-0.4206825796987953	-0.5042549915304864	-0.2256952654618511	-0.28964009505908994	-0.5921093997045982	-0.21150192782131236	-0.15271828328466291	-0.23832991450763927	-0.1870814984931333	-0.1171337677021879	-0.17188445338842276	0.3278608272431866	-0.02144309074283495	-0.23605807718442331	-0.5566684315637768	-0.5583661241054747	-0.2899578697779367	-0.12873965258527703	-0.1846599057850022
Bilophila	0.021835180840438003	-0.014864470289247082	0.09695480314484443	0.05212675001584833	0.0435316726296013	0.06762326090529308	-0.009865411515000228	-0.0535285755805003	-0.06329924848311502	0.12184055830707642	-0.01599508070951529	0.04961257797994453	-0.02254572043332927	-0.007134816181761831	0.09160634512919297	0.03719025858774601	-0.02169581701272181	0.12956094548476518	0.09245674338585752	-0.05382529727437247	-0.015399657977542584	0.013174875064846731	0.12403965472989942	0.0705256993056315	0.045827981845095345	-0.041890031517643006	0.2373464953218086	0.07816911698389405	0.11424842363836733	0.02594677363883431	0.4912688289437767	-0.0385909145398994	-0.025926305420109062	-0.0067004400938252585	-0.0160290444570704	0.2746091799142747	0.056181301712390525	-0.0012874284652710022	0.03033277552343745	-0.01943153718565062	-0.02451926158430954	0.013651537143116805	-0.034472933857856956
Blautia	0.000400502310573667	0.003208741919679766	0.004934235250767492	-0.00215703535797004	0.007486824558740254	0.0014086632992590948	0.012060459279174327	-0.013657475175801941	-0.008146620963231316	0.011936795249996855	0.004058060534037932	0.0017975144699429993	-0.01842049715081482	0.003656163685485185	0.0037623285122799616	0.02665299466250005	0.01298413825738493	0.0061617435680339895	0.002474315240759664	0.013484687421683843	0.01368302671038645	0.0018327827852849881	0.051968177552097684	0.04726188178326622	0.01964350695847137	0.006345642640888668	0.026755110830645846	0.008490037186854746	0.03704374212975	-0.010324169525022716	0.008798949841769866	0.02594326480133857	-0.012650708725095595	0.013207534244614953	0.014937436115120424	0.025308660050663203	0.030767871372911614	-0.007283132043601811	0.04811057060627901	0.011665265209940389	-0.010792239449937804	0.006398590098997747	-0.016893792959390683
Butyrivibrio	0.00105755462420267	-0.0011717717831992418	6.720773357261739e-05	0.00555255539665484	-0.0011707371259889487	-0.001050986800172139	-0.00040158195288005023	-0.0004552491725267319	-0.000207831143979595	-0.000253805912193262	-0.002561991193057549	-0.0006576821049743916	0.005071349823678711	-0.0005848512343893316	-0.0017102883686061022	-0.0013138797017774948	-0.0006715375145730323	0.0007482371034226398	-0.0008735205960596908	0.0015256695342138434	-0.0033975443680092764	0.003004734508868623	-0.0005847612641971335	-0.0012511254927187257	0.003185124744227542	-0.0020644560301973027	-0.0021509173849005095	-0.00012370901427356443	-0.0009003766984310822	-0.00038876120049170294	-0.0007832355081880342	-0.0015955313884563366	-0.0019923449211498435	-0.0007430638173712005	0.001088594340511303	-0.0035210734418984506	-0.0007969559624983782	-0.0008681223845277557	0.0022122770559801956	-0.0013626435459493291	-0.001596656015858821	0.0017237838974359476	4.588479802147497e-06
