Taxa	M00002	M00003	M00004	M00005	M00006	M00013	M00014	M00018	M00020	M00027	M00033	M00035	M00036	M00038	M00040	M00044	M00046	M00064	M00088	M00095	M00097	M00117	M00129	M00134	M00135	M00159	M00175	M00190	M00192	M00193	M00198	M00200	M00207	M00209	M00211	M00212	M00215	M00216	M00217	M00218	M00221	M00223	M00227	M00230	M00237	M00238	M00239	M00243	M00244	M00245	M00246	M00260	M00268	M00269	M00274	M00276	M00280	M00283	M00303	M00305	M00306	M00307	M00331	M00332	M00336	M00344	M00348	M00349	M00356	M00358	M00364	M00365	M00367	M00448	M00449	M00455	M00467	M00473	M00479	M00481	M00501	M00502	M00504	M00505	M00507	M00515	M00530	M00531	M00537	M00538	M00540	M00542	M00546	M00549	M00550	M00555	M00568	M00580
Acidaminococcus	-0.29200050803652566	-0.2237266276863458	-0.15628272235920132	-0.04474217658054218	-0.11394050065556637	-0.04280106968384968	-0.06924330917112365	-0.035016398803834746	0.23250771844496404	-0.05438473192946561	-0.07708646067606786	-0.20766469912402669	-0.00726734227487089	-0.05388764661756636	0.3277141758299023	-0.03054263099674153	-0.06454461588353305	0.28747500736891807	0.34463082121811156	0.3036628942003158	-0.04269085619840596	-0.09160540044217486	0.06373938266335238	0.17647428274345273	-0.04625142655467976	0.13586173798484275	-0.04281006670306954	0.4540818092829497	-0.03784146283888205	-0.03623099639852072	-0.053606489766944626	-0.03242975577811469	-0.060797357378446396	-0.06861576708053593	0.058521111515812727	-0.07518584036586484	-0.04332289679860363	-0.04800809455736442	-0.040862212041962095	0.0	-0.063251294370673	-0.049535338569941745	0.31858669983131804	-0.03138835080341174	0.06247979997256692	0.33095085349426	-0.06393956634099501	-0.04050682978277623	-0.0708200367894104	0.1082318919605425	0.11037993029929258	-0.04783715119218641	0.24604823237090748	0.6353335092321675	-0.027337442899653626	-0.057045600363749796	-0.03194391674024032	-0.043349887856263314	0.22577120030406714	-0.028336112033062077	-0.03366909517565535	-0.0958542427687707	0.09447095106371167	-0.03098798344812638	-0.0860272485258394	-0.05288447897454799	-0.04409439119670968	-0.02621731400677659	-0.06176453694458517	-0.060246289951227786	0.7498408220985868	0.22160108189564537	0.38832709431434076	-0.049688287896679964	-0.026415248429614294	-0.021601843146969994	0.0	-0.038097877886649104	-0.02990384263212892	-0.042189272376896736	0.0	-0.028588028571219143	-0.023477721654318294	-0.026532209679472937	-0.02882420032574144	0.0	-0.0630601077122502	0.1895649457084011	-0.027632095279105224	-0.036289477023450034	-0.04028865206669374	-0.03402447743484126	-0.0483274887396707	-0.14061891189736264	-0.06402503802358406	-0.03105096258266564	-0.03170549573091305	-0.10266723557303684
Akkermansia	0.0684425744605529	-0.07608779154265943	-0.24845718426703473	-0.07038368135724547	-0.1193522077163337	-0.04012445646593062	-0.11398998426127581	-0.2645573501610383	-0.3886060019101577	0.015506362625490547	-0.11580513288888986	0.018160483295359832	-0.03885362750112034	-0.05884950271733899	-0.05578826692776938	-0.02302337218371356	-0.057144567575168656	0.4206376395877919	-0.05625161341759401	-0.06315907492366904	0.9736056871166178	0.048928039772598755	-0.030987983448126373	-0.0797653231487919	-0.2485763947716983	-0.17472886101479285	-0.052776514743909195	-0.0643646754991351	-0.03466551505425883	-0.04767520484622823	-0.05240988621069848	-0.03788644793498154	-0.07107195332756751	-0.07946167375012037	-0.0993338399520654	-0.05574328183166988	-0.04219602014131167	-0.0625157880494465	-0.04168993781019251	0.0	-0.06286892105382741	-0.04635489227570855	-0.03876815581853133	-0.03345316671437784	-0.07592359594189634	-0.0698371124396368	0.1201821827393691	1.0347786700474946	0.06382935285555133	0.01856534916025514	0.03075406094840909	-0.09786957507402738	-0.054629900703207786	-0.03939119939950911	-0.029496727512428607	-0.05034731955453735	-0.0346925061119185	-0.03870517668399206	-0.049847984987833105	-0.034296637266243074	-0.03313152327726657	0.24222224994764674	0.13680642500293172	-0.026152085617432354	0.024469643023311807	-0.036154521735151574	-0.04663829838113528	-0.0287994585228867	-0.08842495414794165	-0.06157335028616244	-0.00042510915814008286	-0.05094337207785544	-0.050050417920280796	-0.05038555688622186	-0.03012651885782134	-0.018819514953217195	0.0	-0.03726340435400374	-0.03219358402359242	-0.05255158926341181	0.0	-0.02423572052359453	-0.02037599927825917	-0.03131862390445754	-0.0352795616160167	0.0	-0.08077298930142017	-0.0709167547460243	-0.03221157806203222	-0.03791793750225117	-0.042463681463103586	-0.03460928368413446	-0.053136395512705034	0.06637101078517187	-0.07594158998033618	-0.03595658731231387	-0.023603679923396827	-0.11660811685426545
Alistipes	-0.17437122950080197	-0.20724408847549664	-0.4097692403701575	-0.05876852954435984	-0.19757454206891342	-0.07255196298924035	-0.16388070509040337	-0.37672543803028546	-0.044690443720027805	0.06141140394020431	-0.16251765667858925	0.6724956971199474	-0.032823375368985136	-0.07245749428743149	-0.032924591835208974	-0.020985547330407132	-0.12100091148837969	-0.20346534040314035	-0.11082303349587252	-0.09941256387023947	-0.05599744762463193	0.2740514546928334	-0.17632133341671452	-0.13860807810171594	0.30901387138134895	0.0645648591767778	-0.07830330752555878	-0.10383010030720835	-0.04428782710993744	-0.07578189288918302	-0.11609303750392647	-0.037128449065705324	-0.07784670880014907	-0.15134110955267352	-0.17609190942660718	-0.11715243651706922	-0.05673745245546839	-0.06330527648599237	-0.06721673059184208	0.0	-0.10949597316093779	-0.10190698744895564	-0.040551814878875714	-0.04582406814173469	-0.13125301488945104	-0.12333563797594263	-0.13920188137022893	-0.08614870828530802	-0.18663641595232502	-0.07890160930368187	-0.06565799701199512	-0.11367283933377444	-0.12745852203345992	-0.0481542961196877	-0.049764762560049094	-0.1400700937249489	-0.0682918743886197	-0.07623174385017778	-0.13486306885143423	-0.040767743340153206	-0.04058105519134035	-0.14325503852879212	-0.03989728173062828	-0.05666322704690421	0.048950532320648485	-0.10007609403770676	-0.06019455709071336	-0.05921388199574473	0.732831957263374	-0.07604280644655995	-0.011646641380155216	-0.05062622715035412	-0.06968641236770352	-0.06978537957912238	-0.03652789803277726	-0.028293376191767555	0.0	-0.017238288825320504	-0.05718055565204827	-0.08304698590924889	0.0	-0.027004553188517473	-0.02588442429564044	-0.043239674370819575	-0.03134336570731225	0.0	-0.13957750692265966	-0.0559682073121673	-0.021178983243634895	-0.05820171733350645	-0.06865175515741549	-0.05137522900041045	-0.10953196123781737	-0.03600157240841334	-0.1410417718006977	-0.03127363880835807	-0.029064870589873622	-0.1680980578497296
Anaerostipes	0.011576914481201028	0.05067571075606353	0.016406064547480132	-0.0023684653096375918	-0.00733481991902011	-0.003463852399659918	-0.0011538677149516442	-0.006311408982756958	0.0648235234793498	-0.002348222016392812	-0.017166312671561337	-0.00035538225918587985	-0.005870555040982049	-0.005456692156866845	-0.0021187980262854745	-0.0020738129301860015	0.0490989831377768	-0.00582556994488256	0.008232272586204736	0.005150793503390389	-0.010114898857967932	0.0014575171136231324	-0.006192198478093332	-0.005605142973995123	-0.006003261074475519	0.0014800096616728558	-0.004948360570942731	0.011403721861218026	-0.0015834753827016772	-0.0022874921366585243	0.004176866172836666	-0.0023729638192475397	-0.004055406413368068	0.022112423987699102	-0.0054634399212817744	-0.0030184999482750713	-0.002719349059213538	-0.00463796340785632	-0.0015767276182867573	0.0	0.003288410524871937	-0.0025124176171559274	0.01898595980878528	-0.0013630484118142229	-0.0029487730493208764	0.011376730803558333	-0.0017791605507344165	-0.004779666460569684	-0.007028921265543647	0.02117223547921998	0.019737210913646594	-0.0067927495110213796	0.021822270117857465	-0.0031916925682580776	0.13925586348554847	0.08873984982063798	0.18737867003796652	0.0452347633828315	0.02477329242198331	-0.0034188673035604345	0.03888736632319496	-0.0013248110801296863	-0.0014777604068678886	-0.0024494384826166627	-0.008216527802569908	0.11757079791079436	-0.0023189817039281566	-0.0012618319455903943	-0.005409457805962393	-0.003828231678065689	0.0009019511767945621	-0.002058068146551179	-0.002775580429337882	-0.0032299298999426147	-0.0017679142767095387	-0.0019478546611074567	0.0	-0.002361717545222659	-0.0032276806451376453	-0.0028385595638771464	0.0	-0.0022582518241938652	-0.0012685797100053155	-0.012580082124219408	-0.0024831773046912614	0.0	-0.004410788672553946	0.07299731544062524	-0.0022132667280943892	-0.0011988528110511273	-0.0031152179048889485	-0.0018443889400786553	0.016075424091148968	0.003720267447426949	0.03502539582305466	0.018248204232753786	-0.004788663479789578	0.10557552203586813
Anaerotruncus	-0.006884968958025319	-0.009982192824474477	0.033808548973563717	0.10680586441418892	-0.011495941308221963	0.17844013144299997	0.009937207728375006	-0.005024835234311848	0.028527298691484855	-0.009210698426368388	-0.009680792680607965	0.0010504019939228436	-0.006099979031089406	-0.008700117585639313	-0.008468444340727	-0.002197521944459565	0.0674191635242898	-0.004892129200818379	0.01655226610980344	0.013315588445445909	-0.003828231678065695	-0.0006882719703220334	-0.013724952819951172	-0.010405052727809573	-0.029741896286170782	0.04017169081683509	0.08732281929350444	-0.007921875423118325	-0.003508837495759396	-0.007928623187533242	-0.00724484972682115	-0.0069074615060750605	0.0009784258401636747	-0.01304567786884902	-0.008310996504378805	0.2065288254475148	0.15619275216700232	0.27881537636976816	0.3437153745124871	0.0	0.08886580808971657	0.08521301828643885	-0.007944367971168053	-0.003650540548472754	0.16630540177016537	0.01868006115530882	0.0664744765062007	-0.008558414532925947	-0.012872485248866028	0.022703978001407263	0.020720135263420203	0.002404453386517179	-0.00885981467679247	-0.006430619487420574	-0.006830986842705949	-0.01084590666958448	-0.0076789559041811305	-0.006491349367154878	-0.008207530783350002	-0.003009502929055173	-0.005213772637929653	0.1559633281768951	-0.004793161989399529	-0.004750426148105023	-0.017206799258050874	-0.008828325109522833	-0.0068152420590711265	-0.004140878095957074	-0.011228279986430053	-0.01145770397653741	-0.0009941706237984933	-0.0075574961447125305	-0.006842233116730817	-0.007429288620829024	-0.0036550390580826946	-0.003092725356839205	0.0	-0.004032913865318331	-0.00529924432051868	-0.015675056735863585	0.0	-0.004649209681881197	-0.0034616031448549316	-0.004059904922978015	-0.004102640764272521	0.0	-0.010780678280240232	0.16893927914678988	-0.007280837803700747	-0.009478359748160303	-0.008331239797623577	-0.007618226024446829	0.05068020926567347	0.04850742912406863	0.031455828447560966	-0.0029757641069805647	-0.005350977181033072	-0.010875146982049139
Bacteroides	0.08929316650266154	-0.057029855580115	-0.05855260108308237	0.10602537299686304	-0.176876899353543	-0.010782927535045207	-0.19485069450009002	0.1007868585560786	0.19427938377962664	0.10671589422198996	-0.17602893029206784	-0.020722384518225195	-0.23531928695118154	0.04823976780227672	0.09000393102103339	0.058087005338452756	0.07025322457855701	0.07927273634650257	0.2038274704267411	0.15464526486118033	-0.08855766018143514	0.14287041595714156	-0.1325620811859458	0.002058068146551194	-0.03805064353574465	0.015713294067548157	0.24067476264182452	0.2549822724562641	0.03787070315134673	0.026844856097364325	-0.016388070509040377	0.15069557342364606	0.3313557193591552	0.10972539715104511	-0.23403721171234648	0.05047102856881088	0.1318445689031592	0.13776010904024066	0.07069407852033185	0.0	0.14867349335397445	0.01993514533648429	0.03635245615798931	0.04852317390770343	0.025553783839309258	-0.023572190356127225	0.1486667455895595	-0.026444488742078935	-0.08675825633745589	0.2066053001108839	0.026721147083090757	0.019582012332103375	0.07446832808307816	0.08367902650944659	-0.02007909764400264	-0.007305579606555442	0.03589135892296965	0.048919042753378876	0.06940075700747184	0.001785908315149339	0.016568010893438262	0.07174448051425471	0.08807631965317067	-0.06483926826298461	-0.11613352409041597	0.20286254011540722	0.05540814286572877	0.12836497171986447	0.0716432640480309	0.10309909249559185	-0.02090232490262309	0.06387883646126079	0.06772506217776623	0.047949613932435076	0.05927011336586906	0.043869465716212294	0.0	0.08244868413112584	-0.016068676326734043	-0.01674570202303119	0.0	0.04854341720094821	0.02227437033365722	0.01746096505101294	0.12542969419937341	0.0	0.06487525633986421	0.1538625241890494	0.0362737322398152	0.12443552357557486	0.152859356546031	-0.021127250383120487	0.033520644358527064	0.10916533270460664	0.03985679514413873	0.11825007286189648	0.02483852081132753	0.1474881360717532
Bifidobacterium	0.5888121721008905	-0.2860804693898341	-0.030020803881987575	1.0365555813434244	0.44134652857718715	-0.20445051400771885	-0.1815620971123038	0.27175496553695494	0.1601604376429765	-0.1801450665851701	0.5887536914759612	0.3140432051252707	-0.1432347952355474	-0.2638038498013719	-0.10688908684197296	-0.09183482443228222	-0.262683720908495	-0.44865435743854787	-0.21432474260155454	-0.21401659469327308	-0.10584768186727002	-0.3037258733348551	-0.22460833556989557	-0.35299579983781	-0.35036867022560025	-0.5137208004368349	-0.21083839765384502	-0.25439971546177576	-0.13105957897622328	0.9568622343483915	-0.017823095074613736	1.592283464517954	0.8334838605311543	-0.30794547534898614	0.5694753285425294	-0.056964627190770736	-0.1762875945946398	1.5139801569923939	-0.18626303965469937	0.0	0.10220613833801719	-0.1398249249512068	-0.13648703082062547	-0.12277557352950405	0.4188652268014723	0.5328439647887234	0.6421262587431886	-0.1415546018962317	1.2184348233832294	0.3743704682494774	0.4131858584189132	-0.2768787679826856	0.229147331766333	-0.1101190167419156	-0.1273033234519167	-0.24568610234730662	-0.14202244689566643	0.12041385598428142	0.20759272297026754	-0.1026649863182319	-0.13444695671251405	-0.2736893246692326	-0.1320492510904118	-0.16246817307287978	-0.44179188102857225	-0.26993306914492604	-0.17151467589848501	-0.13739572976183495	-0.29076791640340005	-0.27264791969452973	-0.016005697192194766	1.0322122703150192	-0.13890497973597238	-0.21425276644779548	-0.10169780675209311	-0.07827181795828916	0.0	-0.1284729359505032	-0.09506025582261485	-0.1306007309960086	0.0	-0.10877396236854114	-0.10031001653742413	-0.13956401139382982	-0.09583849798513583	0.0	-0.31322447637626005	-0.21942830175404077	-0.10822064568651757	-0.10908211027682257	-0.18095254906015595	-0.14824838419583425	-0.2400584668252618	0.5527566175771581	-0.11602555985977729	-0.1492942876801472	-0.06895090604647702	0.7187246311265771
Bilophila	0.018808268679192337	0.01982268259623559	-0.02680212025606981	-0.0369305146428676	-0.01650278250409401	0.5294588363072374	-0.0389525947125392	-0.018976962789565368	0.18113923720896863	-0.03529305714484655	-0.035997073898803425	0.006457610545080257	0.09001292804025332	1.5009322298687404	-0.0083739756389181	-0.003112968650083977	0.3940267059901449	0.06673089155396775	0.03951265915897773	0.03725215807997889	-0.022526286871814315	0.04917995631075584	-0.013333582483885692	-0.020360254494624377	0.019127662861498654	-0.06091881713791499	-0.017501451637502455	-0.01945830331782982	-0.006480103093130002	-0.023198814058501507	0.16747276501394698	-0.015920225509605757	-0.027569116144565947	-0.035664184187667244	-0.03212160786983326	-0.03461378219374443	0.2673576723932309	-0.03188993462492092	-0.015186968443184215	0.0	0.020884330864183304	0.1696770347228214	0.22982210820782528	-0.008106314317126186	0.23518658091768807	0.05040130166985671	0.11429588291475226	-0.021939231367716097	-0.045637379992921834	0.03550673635131909	0.03481621512619205	-0.03471724791477322	-0.017402484426083616	-0.014881069789707782	-0.008077074004661518	-0.024903749200671794	-0.00959082248840901	-0.018077260867575808	-0.020648159109661033	-0.006950197347369562	-0.0039766824951939705	0.12957057229533045	0.1105531229192756	0.7210323665564806	0.06788925777852935	0.11213884755678222	0.36102339023676194	-0.006693782299602537	0.2995040220659189	-0.03038968167000332	-0.0029285297560761106	-0.019694475072352075	-0.014240032170290191	-0.018952220986710674	-0.005998762564865584	-0.005261006988834112	0.0	-0.005879552060201949	-0.01597870613453508	-0.024006296533487192	0.0	-0.007789169389624858	-0.006871473429195481	1.6782499831640565	-0.0062934149443171754	0.0	0.242460670956974	-0.019804688557795803	-0.00867087727317465	-0.014055593276282335	-0.022796197448411173	0.5988685903339293	0.29059022527380707	-0.05796329632417922	-0.036368200941624095	-0.005438698118427052	-0.004694194777980673	-0.04194635285795957
Blautia	-0.004853891869133837	0.004284830403475406	0.0092804253253226	0.2881250420075553	0.00858765484539063	-0.0023279787231480524	0.03154354938495495	0.005146294993780444	0.04491761845533017	0.047153377731474294	-0.014242281425095179	-0.026359017059489932	-0.012044759480635596	-0.030448162294932635	0.05802852471352342	0.0022807443722435996	0.07106745481795756	-0.001268579710005323	0.00724035121721121	0.003960937711559162	-0.005611890738410053	-0.014944048924247066	-0.03662236673458615	0.0032501731931873917	0.09585424276877068	-0.033621860824750896	0.1760694168785573	-0.021221719084929404	0.010103652583943063	0.018205468391459294	0.011831080274163068	0.014955295198271924	0.15324847762729146	0.004372551340869392	0.002807069996607509	0.25052874794241564	-6.747764414922168e-05	0.14383984477808526	0.08121384324319514	0.0	0.08763096720178584	0.08181889278573312	-0.00224925480497397	0.003915952615459685	0.04606923691547683	-0.009093737176509768	0.07129238029845492	-0.014327753107684162	-0.004244343816985878	0.11707821110850508	0.10048320915740708	0.023621673961836634	0.015551347721590003	-0.007503514029393166	0.0026113848285747826	0.0202545395187906	0.003915952615459679	0.004332064754379869	0.0021930234348496256	0.001749920238269742	0.00940413433959616	0.06238083276114808	0.002780078938947824	0.0028722983859517594	-0.02515566573882884	0.17534965534096575	-0.0004251091581400829	0.0006635301674673241	-0.011176547125915658	0.4115146620988177	0.10125470355551323	0.02190099403603154	-0.015783020966502345	0.0007759929077160216	0.015951715076875407	0.0035740658851036323	0.0	0.01011264960316296	-0.016957131974698763	-0.019420065986145253	0.0	-0.000663530167467318	0.006878221193610392	-0.010780678280240236	0.00970778373826766	0.0	0.0006320406001976745	-0.010234109362631558	-0.005020336724701901	0.009181458113903744	-0.008893553498867076	0.008961031143016307	0.002928529756076116	0.024228972759179603	0.007123389967352565	0.007490018500563314	0.00472793360005529	0.03061010864089076
Butyrivibrio	-0.004179115427641635	0.00013720454310341942	0.007330321409410165	0.011509436837051794	0.003457104635244997	-0.0010076661526283422	-0.0005645629560484626	0.005218271147539614	-0.004260088600620702	-0.0017589172574896546	-0.0007355063212264952	-0.0017971545891741967	-0.0018511367044935683	6.74776441492297e-06	-0.001551985815432046	-0.0005533166820235916	-0.0015227455029673638	-0.0016217127143862298	0.009089238666899813	0.0038349794424806056	0.0005038330763141609	-0.005332983142593286	-0.0008997019219895906	-0.0008682123547199517	-0.0029937581454203537	0.0010504019939228406	-0.0004476017061898279	0.00012595826907853407	-0.0008097317297906311	-0.002298738410683397	0.002532660910400686	-0.0006230435809777955	3.598807687957871e-05	-0.002764334155313011	0.0011381229313168412	-0.003067983553984488	-0.002249254804973975	-0.0022020204540695227	-0.0017319261998299592	0.0	0.0012348408879307078	-0.0032794135056520447	-0.0023594682904176842	-0.0009446870180890705	0.01199527587492618	0.006468856819105136	-0.004442278239823594	-0.00031714492750133084	-0.0007782421625210096	0.006052744680184959	0.009125226743779406	-0.002660868434284204	-0.0018668814881284013	0.00012595826907853917	-0.0024359429537868156	-0.002764334155313004	-0.002330227977953036	-0.0022065189636794576	-0.0012573334359804486	0.0007377555760314613	-0.0016127156951663254	-0.0019433561514975114	-0.0017814098055393903	0.000706266008761829	0.003119716414498894	-0.0034391105968051934	-0.0027126012947986	-0.0014147812723286242	-0.003965436221169112	-0.0014777604068679008	0.0012393393975406502	-0.002496672833521104	-0.0006095480521479569	0.002150287593555116	-0.0012460871619555803	0.0009581825469189046	0.0	-0.0013045677868849005	0.0005060823311191459	-0.0005510674272186215	0.0	-0.0003283912015261915	-6.072987973429814e-05	0.008200783018935091	0.0002766583410118014	0.0	-0.0027575863908980837	-0.0014350245655733998	-0.0017656650219045685	-0.0010818915611924855	0.00040261661009033747	0.001614964949971299	-0.0039002078318248947	-0.003022998457885013	-0.0055219205462110985	-0.0010076661526283285	0.0007467525952513559	4.273584129453485e-05
