KO	wilcoxon
M00002	2.5663097622831
M00003	2.581424754572525
M00004	2.5112480046573373
M00005	2.2640099164945986
M00006	2.9938481156125523
M00013	4.1037204065789075
M00014	2.367655577907799
M00018	2.4831773046912624
M00020	5.454352931869677
M00027	3.847845179965069
M00033	3.301546172932991
M00035	2.9690163425656397
M00036	3.1968208692134032
M00038	3.208696934583666
M00040	2.363337008682249
M00044	2.459425173950737
M00046	5.248141251349663
M00064	3.279953326805241
M00088	2.5403983469298
M00095	2.330947739490624
M00097	2.3741334317461242
M00117	2.671035066002688
M00129	2.7250171813220634
M00134	4.073490422000058
M00135	3.1525555346515155
M00159	3.314501880609641
M00175	3.195741226907016
M00190	3.0575470116894152
M00192	2.3849298548099993
M00193	3.2443251306944534
M00198	3.125564476991828
M00200	2.557672623832
M00207	2.212187085787998
M00209	4.788213628828586
M00211	3.186024446149528
M00212	2.4345934009038244
M00215	2.245655997286011
M00216	4.344480640903321
M00217	3.2022190807453406
M00218	2.8837246003610266
M00221	2.700185408275151
M00223	3.7722702185179435
M00227	3.2821126114180164
M00230	2.323930064499105
M00237	4.338002787064997
M00238	2.739052531305101
M00239	3.7193677455049556
M00243	2.636486512198288
M00244	2.2510542088179486
M00245	3.053228442463865
M00246	3.08993628088104
M00260	2.3082752510564863
M00268	2.448628750886862
M00269	3.127723761604603
M00274	2.7271764659348383
M00276	2.7617250197392385
M00280	2.2931602587670614
M00283	4.21924213336237
M00303	2.420558050920787
M00305	2.4610446374103185
M00306	3.4235457535547793
M00307	4.184693579557971
M00331	3.1655112423281655
M00332	2.3244698856522987
M00336	2.3277088125714616
M00344	3.427864322780329
M00348	2.7995125004628014
M00349	2.320151316426749
M00356	3.546624976482955
M00358	5.890528423650229
M00364	2.8783263888290893
M00365	5.25785803210715
M00367	4.1037204065789075
M00448	2.7595657351264635
M00449	2.2769656241712486
M00455	2.6224511622152504
M00467	2.354699870231149
M00473	2.8664503234588268
M00479	3.8165355530798313
M00481	3.581173530287355
M00501	3.0953344924129778
M00502	3.0672637924469024
M00504	2.3870891394227742
M00505	3.3620061420906917
M00507	3.3468911498012663
M00515	3.594129237964005
M00530	2.5641504776703252
M00531	3.0068038232892023
M00537	3.915322824114288
M00538	3.915322824114288
M00540	3.5547222937808614
M00542	2.2337799319157483
M00546	3.9298979952505193
M00549	3.3576875728651414
M00550	2.843777835024689
M00555	2.6915482698240507
M00568	2.5177258584956625
M00580	5.022496009314675
