KO	wilcoxon
M00002	3.9666058336676944
M00003	2.666716496777138
M00004	2.0793910821023354
M00005	3.493722503469967
M00006	2.5727876161214254
M00013	2.3665759356014116
M00014	0.9338905950251921
M00018	1.9714268514635847
M00020	3.4375811035378168
M00027	3.5898106687384552
M00033	2.8837246003610266
M00035	-2.5436372738489625
M00036	1.1973233177837435
M00038	2.7336543197731635
M00040	2.9204324387782017
M00044	1.3873403637079442
M00046	2.597619389168338
M00064	2.845937119637464
M00088	1.2102790254603935
M00095	1.9131261669186594
M00097	4.59603729829161
M00117	2.702344692887926
M00129	1.6896402094964458
M00134	3.241086203775291
M00135	2.858892827314114
M00159	1.204880813928456
M00175	0.9867930680381799
M00190	1.01702305261703
M00192	1.824595497794884
M00193	3.306944384464929
M00198	1.3668271598865818
M00200	3.215174788421991
M00207	0.19109668823058845
M00209	3.4742889419549923
M00211	2.5058497931254
M00212	2.160364255081398
M00215	2.586822966104463
M00216	3.6016867341087178
M00217	2.383850212503612
M00218	0.0
M00221	1.1832879678007058
M00223	1.108792648659968
M00227	2.5641504776703252
M00230	1.798684082441584
M00237	1.3862607214015568
M00238	2.195992451192186
M00239	2.433513758597437
M00243	2.660238642938813
M00244	2.1797978165963734
M00245	1.4629153251550697
M00246	1.4650746097678446
M00260	2.7444507428370386
M00268	1.715551624849746
M00269	3.4213864689420044
M00274	3.001405611757265
M00276	2.1376917666472606
M00280	2.51016836235095
M00283	2.6278493737471877
M00303	1.6637287941431458
M00305	1.645374874934558
M00306	2.204629589643286
M00307	3.409510403571742
M00331	2.597619389168338
M00332	2.3622573663758617
M00336	1.7371444709774961
M00344	2.296399185686224
M00348	2.668875781389913
M00349	1.322561825324694
M00356	2.463743743176287
M00358	2.3924873509547115
M00364	1.1757304716559933
M00365	3.52287284574243
M00367	2.797353215850026
M00448	2.9679367002592523
M00449	1.7317462594455586
M00455	1.5816759788576953
M00467	0.0
M00473	1.6475341595473332
M00479	0.7762628182926163
M00481	1.521216009699995
M00501	0.0
M00502	1.6896402094964458
M00504	1.5838352634704702
M00505	2.0372850321532225
M00507	0.822687437467279
M00515	0.0
M00530	2.3363459510225617
M00531	3.0337948809488897
M00537	1.6777641441261832
M00538	1.6777641441261832
M00540	1.0656069564044677
M00542	2.1614438973877856
M00546	2.676433277534626
M00549	1.8094805055054588
M00550	2.431354473984662
M00555	2.031886820621285
M00568	1.0580494602597552
M00580	4.155543237285508
