KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
M00002	-4.403618190946063	0.5728800331652132	1.761860683654467e-31	0.6380529757973548	7.801296758222961e-41	2.10250465930503	0.7947621842317375
M00003	-0.6235474640362324	0.5570592530435612	1.6365464437514897e-29	0.6265253043595154	5.118409609799584e-39	1.64260223961197	1.2602494489136955
M00004	0.5023806326545484	0.7533275653021884	2.1244169505455978e-64	0.7806346692227216	5.304181918380526e-72	0.9736815548611696	0.8934214415618603
M00005	0.4237862542685431	0.6627771167765828	5.2701888377079436e-45	0.4525494310245065	8.038175950018362e-19	0.07938845875930174	0.08831890548099319
M00006	0.39683320958268575	0.8080262448552578	8.174751832409291e-81	0.867146706254347	7.259830205248417e-106	0.514163604220882	0.3363180228033708
M00013	-0.4133618482142525	0.5368421388124776	3.8064718139076575e-27	0.541035786717476	1.2668071027858686e-27	0.14651203893653142	0.12028034372536958
M00014	-2.2345285741160437	0.39794335136238124	1.538054757308445e-14	0.49658380918426387	6.991317890265484e-23	0.8516370886785007	0.42249765820071283
M00018	-1.6631361503376865	0.619124010419412	6.856817037546846e-38	0.5451349234644676	4.257437477811109e-28	0.8619011684385659	0.435385031965671
M00020	0.22003391583859744	0.5790555173787363	2.808706496559156e-32	0.6007390544544907	3.233019142220095e-35	0.33309931591694286	0.2818157951436679
M00027	-1.5758135179694701	0.7907590436924657	4.187563004548906e-75	0.6828731655142989	1.0653154175156835e-48	0.4204647602442386	0.32018860167910734
M00033	0.09474157886020362	0.5352918043817382	5.694786063864504e-27	0.5965668597345366	1.237319337444843e-34	0.22457103337564918	0.17927291104927803
M00035	-0.9717136897694989	-0.026918178833583054	0.6183016997831455	0.041265188752578945	0.4448608960449073	0.7318896147614896	0.546213928742662
M00036	-0.48486331897836843	0.7462728356210142	1.3528277820730301e-62	0.8115525111486467	4.7303102790216793e-82	0.6808003480307774	0.3269609997546391
M00038	-1.5379857296020072	0.6449804004351014	5.78788153704814e-42	0.4415267362957854	6.807220019383154e-18	0.236416099770345	0.17609546052803451
M00040	0.5837780530876335	0.79415198112251	3.4950560006988617e-76	0.6907137471726564	3.1928206140487446e-50	0.059698642553361346	0.07280279775421099
M00044	-0.23968772829780338	0.40243132883541083	7.306402499817063e-15	0.3356078715582389	1.5793422942787835e-10	0.023673645460575345	0.03464053327393225
M00046	0.37402362797641664	0.7665686682378469	5.8982754780788576e-68	0.5821630420171015	1.0984284190154606e-32	0.09431656529103545	0.11632687689668222
M00064	-0.7954791801076266	0.6617818039494188	7.895539694516292e-45	0.5826709410451382	9.412709082393475e-33	0.5990805406959491	0.34400527247616963
M00088	0.24489750149349865	0.7170898006557438	1.0045194688244412e-55	0.6306600933973127	1.1647294297682816e-39	0.17083450433119238	0.1418144376420698
M00095	0.5779464518142745	0.8310937318236971	2.041161464948081e-89	0.6963091112059241	2.4378155059440366e-51	0.17204024153394187	0.15581368391223596
M00097	0.55492915518275	0.7681132734337437	2.1901574659093423e-68	0.5539630606967642	3.8625360351616813e-29	0.007968928767220359	0.01738255623468779
M00117	0.08952506426506923	0.8215793083869148	1.0195872158815014e-85	0.6716102561704764	1.360853276822149e-46	0.6548575575743371	0.4896771058995313
M00129	0.41268865427158063	0.6573488781899611	4.690045769494666e-44	0.727805280045822	3.828919700821951e-58	0.4020008084136389	0.30963796622282885
M00134	0.3384814175570261	0.694963771184218	4.549440755408794e-51	0.567932225579642	7.461929342414812e-31	0.12641026411839973	0.09785037666950266
M00135	0.1861221225989368	0.43944440930671974	1.0103972970711962e-17	0.5496893574989626	1.2453758067212416e-28	0.1496430798359148	0.1585099524731132
M00159	0.5507189710977465	0.7973491551708893	3.2242519327697618e-77	0.7538522007983776	1.5511147842379477e-64	0.8632206037151225	0.7099805827298501
M00175	-0.28389627946242957	0.4751466470713392	7.846619019070698e-21	0.3099426056564405	4.065745495864319e-09	0.13994024679745845	0.14299442864744913
M00190	-0.1508737060223635	0.5682422883298168	6.821449852545664e-31	0.23940717838419143	6.917682492024564e-06	0.6572786431859842	0.7604907157014842
M00192	-0.5933075384901636	0.8994685044532938	2.290424980126711e-125	0.8876488190909251	1.513381982793026e-117	0.1005753449215136	0.17695214736750864
M00193	0.4774862530026145	0.8221882062399859	6.003156856457586e-86	0.6740045120604102	4.941546717691402e-47	0.15120862921785755	0.19455186175961836
M00198	0.4735111381010072	0.6963191314623769	2.4264820063992912e-51	0.5408084303056161	1.3451997026736497e-27	0.25980762647113903	0.49430069708720914
M00200	0.8438398743875616	0.9191746443850873	7.394374080526014e-141	0.7808464428707117	4.585859848969836e-72	0.009461351154310207	0.02342130350869437
M00207	-0.34511251162549184	0.6790074602313627	5.76832806833267e-48	0.6542353168085939	1.6102358957373295e-43	4.717589526148044	3.773078600321007
