Taxa	M00002	M00003	M00004	M00005	M00006	M00013	M00014	M00018	M00020	M00027	M00033	M00035	M00036	M00038	M00040	M00044	M00046	M00064	M00088	M00095	M00097	M00117	M00129	M00134	M00135	M00159	M00175	M00190	M00192	M00193	M00198	M00200	M00207	M00209	M00211	M00212	M00215	M00216	M00217	M00218	M00221	M00223	M00227	M00230	M00237	M00238	M00239	M00243	M00244	M00245	M00246	M00260	M00268	M00269	M00274	M00276	M00280	M00283	M00303	M00305	M00306	M00307	M00331	M00332	M00336	M00344	M00348	M00349	M00356	M00358	M00364	M00365	M00367	M00448	M00449	M00455	M00467	M00473	M00479	M00481	M00501	M00502	M00504	M00505	M00507	M00515	M00530	M00531	M00537	M00538	M00540	M00542	M00546	M00549	M00550	M00555	M00568	M00580
Acidaminococcus	0.08328084083560439	0.05676597398394871	0.05049291713459917	0.01906185183836694	0.03781699510776898	0.015029756031752592	0.02418308653624232	0.014986426512660564	0.059419293209475206	0.021881109988882156	0.026746663810206763	0.05420158192705014	0.008903362301691317	0.01736969511958354	0.08843129939002725	0.010592171459975043	0.017906736002767383	0.10007089182690186	0.12035679527426478	0.0965119023612224	0.013510019040273604	0.04499384482484067	0.017636061172046226	0.05046156212437068	0.02082101734438604	0.036915563354578976	0.015971658357129027	0.13711080488590954	0.01396798721883344	0.013824740485037828	0.018339855416395556	0.011562127104955482	0.016918055544250115	0.023000090961350705	0.013058811913022352	0.023042737692602903	0.014391259151627962	0.017133749308407446	0.016117749357294365	0.0	0.02087672183676526	0.017289769478129446	0.0954467713124217	0.01138409070427593	0.02349154115367819	0.10847693642136833	0.02227615373003606	0.013599349032009206	0.025443869079714757	0.03607233815881188	0.040528472958948014	0.0234424140890336	0.06592113007187386	0.18590803064129735	0.012508112441889431	0.021632149079173494	0.013981508322409273	0.015517285581890949	0.06573193630345756	0.009757540123647792	0.011539884540343135	0.03358816112775777	0.0367733229320101	0.013314268266823998	0.031276750966631045	0.020436147800237857	0.015959000213548936	0.010571714110220355	0.019539422137735435	0.017684757060650785	0.18425068384534912	0.07203338872012846	0.10022902195403656	0.016728883867767545	0.011705304274907085	0.008090473222040977	0.0	0.010967991975196045	0.010298413863732397	0.012690403349786666	0.0	0.009976641003620064	0.007408005803818527	0.008723696818107318	0.008778705381522464	0.0	0.02412281177386878	0.05571665760471398	0.008408996945794596	0.010609650963309125	0.012401643935213409	0.0111823525973513	0.01662227454343634	0.04042100262747619	0.02186134554016094	0.011616337541725367	0.008284601526653843	0.03370539076219436
Akkermansia	0.036047789624844236	0.04534084834272237	0.11148084853981621	0.03297727040244804	0.07364353235668307	0.024373027410109067	0.06113448729356296	0.16432245559819023	0.17970730818804043	0.0185280087330544	0.05766088805858482	0.014365473126100772	0.026989810062595283	0.028918157361938965	0.025685781018090752	0.017280192795931897	0.035674700620860436	0.1867809761082249	0.03336440778551443	0.040227967977384704	0.5319648914644122	0.035087488656352195	0.024279246865894784	0.04895743558692237	0.1326711766426018	0.10511318331340724	0.032821524839525135	0.028869811478050032	0.019889023486258386	0.02510909272887648	0.03427101782371922	0.019147181315875752	0.030685414727945053	0.045287740838687904	0.050033798689737924	0.03813064579733366	0.026648873844210174	0.030278310481539263	0.02733492335830057	0.0	0.03778372646653253	0.03422407029117814	0.01866065908370325	0.017864016473979043	0.03780712296979792	0.03557604112460073	0.05888157828610094	0.4081095736929638	0.03856365559156183	0.019399199362927493	0.02109057330081782	0.05939922750429741	0.03328825233204394	0.019835633644596014	0.02147491996354789	0.040696163031409986	0.02428559226275286	0.02520527645942998	0.03132068115675967	0.020387915786442768	0.01719365448810243	0.1605231541029292	0.07840735265031654	0.01862340194397202	0.01815522010304096	0.031451855625600995	0.024738316103932977	0.019338753395911016	0.03932903303383206	0.0310628295344213	0.018661777787263294	0.0230981119713891	0.02795288094369123	0.027413193581456063	0.020155671862893552	0.011318053456522011	0.0	0.021734636647319536	0.017581224540159243	0.026443287658881532	0.0	0.016171362204561186	0.011077248149149024	0.017967456934438956	0.019994573914238627	0.0	0.042914503749743586	0.03705476964832195	0.016564449536087565	0.021264017812153955	0.021350376709954398	0.0185844756919678	0.02825196720830398	0.0371111587003484	0.046056103567072966	0.021355862503120562	0.015474094499558588	0.06779466028139193
Alistipes	0.11341853442099202	0.10752441603485302	0.2192451174427672	0.07134359761889955	0.12937975145545638	0.05622431298284435	0.11197030490784772	0.17208813978556953	0.0617801729590032	0.03971471298555921	0.13139849911753854	0.3815580654457754	0.03679214394183353	0.06760326282457108	0.05070910118440234	0.04356899000916619	0.08312352872148061	0.12360532739936661	0.07872182722177948	0.06772244713051047	0.04161110799772127	0.13779980940932693	0.11064112496829684	0.10341641252041142	0.1606349041512228	0.04318042090024856	0.06555906125292495	0.06742763875115575	0.0505393704658876	0.05275857764556958	0.07585708573793339	0.04568212336268445	0.0823541385682255	0.09486371363107597	0.1083919207031884	0.08088853840284832	0.05858627865790022	0.05830533561763951	0.05569168272489404	0.0	0.08675551908175237	0.06659229787677072	0.052775517930008196	0.04210112634295485	0.09649972581462576	0.06768210492492618	0.08506377082788082	0.049341095746231814	0.11907007856580765	0.06326841540442578	0.04685084313146991	0.08285719865765727	0.07861926996773845	0.052039077230823384	0.04514347421468981	0.07867757260097318	0.05853270215956268	0.06452405378202049	0.0803072984370312	0.03915450241490978	0.04472130055195801	0.10474704823477356	0.04539069797075529	0.04386098906433367	0.037747439937761605	0.07755531226366073	0.062452164916366674	0.044805818025936854	0.46165310321788344	0.07723453565641107	0.03111509767679968	0.060783020430729716	0.059779920344805136	0.05331639520427516	0.03402964582525863	0.029509834063129434	0.0	0.03755747540284226	0.04684907598246962	0.06512989939906884	0.0	0.043448139771519484	0.02843830393663348	0.049084319450052157	0.05178492326555964	0.0	0.08531104393350088	0.0658582285959669	0.034089155558938274	0.043671914000387065	0.05510208185718749	0.04357702481769832	0.06944442883988125	0.04701163188046211	0.1042378671071744	0.048083854011642765	0.031813108194570686	0.12692046278883673
Anaerostipes	0.01093608519195971	0.03805509190109777	0.011369071529272808	0.0039660056510303614	0.007875125344175966	0.003744174429461647	0.001235279149359467	0.006411147166474595	0.03641151694864656	0.002434082990986403	0.011151474052447737	0.001361681452545194	0.0036205999305673063	0.0034164393093199766	0.00406088499030038	0.0022410332632448932	0.027665538878108884	0.006861096681736366	0.004983301460173735	0.0029022559926617105	0.004245641906711887	0.0014430348099643195	0.0054588230804952466	0.005184617020682442	0.00504866208045197	0.001991998746357336	0.0038888079755452147	0.012006329094086594	0.0028012041043699587	0.003148725541353562	0.002453330140401409	0.0018909180066201364	0.0035775615075525117	0.01814942046588333	0.004604832561079249	0.005132494387345676	0.003173431729565711	0.004414706465216874	0.004028499668349651	0.0	0.0014925316477456799	0.003927307924011424	0.013280634379851906	0.002362953615701578	0.005499557850845898	0.005899361372968908	0.005776277406880325	0.003525734478893718	0.003689559935566503	0.01244748963278574	0.013458447555322696	0.005438028796311769	0.022928291692498753	0.003186795863608587	0.08519594833207624	0.0685838580482986	0.11259783695240126	0.03306165000427748	0.02079692574934723	0.0035390881716379284	0.031429550660411	0.002478417532611846	0.003140312640134973	0.002167060464939512	0.00718247263740181	0.06565785186821038	0.003134922261344729	0.0025247837699961546	0.0035351266178048394	0.0037026680354257315	0.0017368078859890295	0.0034620972239610354	0.0035891540323212704	0.0018958003732477868	0.0027076682466058476	0.0017489304452403198	0.0	0.002590598306390286	0.0025886150664267337	0.0028073371751776185	0.0	0.0021029931970343346	0.0014512751243790593	0.0043136356780405305	0.003098563647401802	0.0	0.004120516341647935	0.03592805105631469	0.002297792252020999	0.0018587182221846894	0.0019314450808129893	0.0021666656145194643	0.010604428830118444	0.001775947257204125	0.022236164702473138	0.014293344025162176	0.0031622544748414125	0.06297777947970858
Anaerotruncus	0.00381542987384179	0.00578110620061106	0.01729701564531837	0.032266603566971294	0.007671916979911521	0.06677215813029462	0.0052583282029072444	0.0034805788435268705	0.013508428215774509	0.007604635914695862	0.006757534896768874	0.0022244427164584855	0.003027986366787111	0.004404323448442673	0.004538103473264612	0.002826076410859683	0.020980703853262637	0.0030206536120903865	0.008313608065829184	0.006457901244575118	0.0027661243426472296	0.0019018481419483169	0.007006259689191463	0.005117687002390097	0.01755613732752791	0.02457941665773262	0.03806612316911218	0.0047786595095111305	0.0029731750135703677	0.00411895238007497	0.004045182632654857	0.003588686433528166	0.0017591991217571824	0.00652437136933699	0.00586187692375733	0.06369321295717872	0.061661760052950876	0.08291850906476475	0.13669580555170044	0.0	0.03306203296543735	0.033889035265919736	0.0038241148714954747	0.0025168836584929894	0.06266705900733974	0.005786970241221897	0.020595819880966898	0.003771711091506694	0.005075898651528856	0.00734838160414638	0.007927797398232673	0.0022500946004658856	0.004926382645845854	0.003497073203858581	0.0033515083367489486	0.005647282945240804	0.004932034626041187	0.004452720502851058	0.005188043150717468	0.0029302445374784145	0.002824569048177759	0.056205847310857066	0.0027950489146850023	0.0020535252643061517	0.00942165659498939	0.004158141120973295	0.0040470526811499	0.0035619085963927454	0.004985652537356211	0.004845836022763741	0.0026223988438321454	0.003969358326884604	0.003856872489604391	0.003102745961931786	0.003123353870384756	0.0018046315991343566	0.0	0.0029723293286604193	0.002348622216500141	0.0066692489397087865	0.0	0.0024590783383643625	0.0023133583263537038	0.002739721529767097	0.0032796463017409363	0.0	0.0050502501695170255	0.05457554584695786	0.003547748762535986	0.003945450708980946	0.003018904015778245	0.004886155822040267	0.019697865042137674	0.020443035163100868	0.015999116727698114	0.00269773288254536	0.0035780378307292784	0.007450991650837922
Bacteroides	0.24400259868488539	0.320280931634681	0.30917239423436166	0.4298564857184628	0.4380144118658767	0.349443356812479	0.5651888566324954	0.3065273924221074	0.28059401759950936	0.2542134443769094	0.5446643340055475	0.20575525652767898	0.6091172212304283	0.3894533511525948	0.319162131643865	0.19931040665646463	0.5259630052326916	0.2510341993733109	0.5137987553634904	0.51208020200296	0.21203990318489924	0.24444933576274835	0.48643043819680065	0.3206513707867306	0.40397118650437597	0.32298396702604715	0.42370353863337273	0.4443355308208112	0.23021370948542474	0.36301942734945486	0.4572034238278163	0.25974082172165575	0.48031732947546896	0.2530834015058698	0.600936463003621	0.4891032828009102	0.30862574771651724	0.3736805952575066	0.35058027774839207	0.0	0.5225162690189644	0.4641347535807801	0.2974895157736317	0.21618385891763112	0.6051256288269681	0.6187687892747237	0.5198412129723435	0.2601577501332399	0.5350737375895857	0.4903188911945371	0.5688840217552278	0.39987455960848983	0.4715443761089248	0.30465602578027084	0.2944420797663648	0.46305289795638815	0.297015723998064	0.38966496864777433	0.43580334953677713	0.19284930824668384	0.24494774915586248	0.29534960918271713	0.24212614883849526	0.24429093323065523	0.3967348561366887	0.4938040985923398	0.3642730724679883	0.23944120777745248	0.26319358511313157	0.3914240370881402	0.15542984123048917	0.35967794169604583	0.3797843503259399	0.32985818504260994	0.239907766760916	0.1606210740412191	0.0	0.2500328421352341	0.26379029116183067	0.3176083749951927	0.0	0.21119133734061582	0.19342750088836147	0.22772076014844167	0.2715841996216457	0.0	0.23900491171169685	0.4818576625067281	0.2506372739800996	0.24496197265858718	0.36772547982115783	0.20712847168599122	0.3090039849718243	0.4494634245378174	0.21628679005058588	0.23306968063298078	0.19026976005109333	0.3519100421739908
Bifidobacterium	0.2010868458376214	0.09808363098721185	0.052159049871208896	0.24891103581776944	0.12682784061671115	0.06427017014039768	0.066930697550995	0.09809405927398969	0.05641987485481521	0.07548250607784988	0.18854981718916275	0.11843543174642299	0.05188280897814637	0.057788205802024366	0.056950680561549866	0.03847531352723102	0.08787871299040656	0.14981765612531334	0.07355115930833679	0.08427926240709269	0.04091976866995406	0.08941797936322263	0.08235660707204377	0.12108463354987038	0.10987389275434578	0.17584971749065315	0.0791828503512189	0.08262313175024649	0.04893728237651788	0.3070332569089948	0.03452873760172264	0.7160232783358539	0.17513542714361752	0.11706112447290713	0.1548262485234145	0.038124673556656385	0.051307561611906666	0.415982978051159	0.05903584622845787	0.0	0.04740980558276882	0.05838848050337118	0.04849340176038462	0.03931244506428942	0.12374399446625475	0.14025494359666224	0.16159027099071904	0.04879239295887238	0.4208049255499291	0.08049517201867525	0.10180018250341549	0.10920384003563137	0.05491957884330808	0.04979668376566423	0.05587899540705623	0.07144566245147509	0.057326539555493876	0.057198703146580175	0.06603647232939577	0.03935959380787317	0.04761029107948557	0.09666591145583021	0.05234447588367645	0.040708171182556575	0.13590885129207414	0.06849874223458188	0.05414304711969337	0.0458558985300025	0.09690863590206103	0.07188385096815587	0.03820256905196542	0.39653497331338117	0.07217657464066295	0.06675127068570877	0.04103720501385202	0.03277827666659921	0.0	0.04440431383151184	0.03720894053568488	0.04601432500127095	0.0	0.03764832723964199	0.03636495916903071	0.03952309345279107	0.03989555838493103	0.0	0.09787028672237527	0.07360545809717173	0.03526485781931221	0.04685024338707671	0.055043288084715175	0.04626824491499095	0.07410275729219645	0.1273723274313266	0.04928813078204562	0.0511981694191727	0.03142545310379188	0.2646778445322687
Bilophila	0.01593131010422816	0.02421947281255981	0.02024515646849031	0.017846198015356342	0.016970100224697995	0.24771867669911732	0.02913977522012297	0.015774375639190874	0.09369983047349312	0.02989051704455273	0.028318840594686444	0.006679451204268141	0.07684670103492268	0.5700189956803212	0.015446702505261973	0.009896036349335535	0.1558230041449504	0.07281982964396683	0.03734694441455446	0.028709121651035587	0.01101388382224816	0.05049004896642626	0.009015758389047118	0.021495355880509458	0.01332273304161258	0.04743254297674532	0.018262953524703873	0.02075653408755308	0.012105952158977761	0.01430596946891805	0.09258684421249552	0.009611090033780152	0.016619453937029287	0.023594690447391584	0.02495499368231036	0.020139080972534057	0.1354115378338354	0.017712972230679226	0.013389704382826145	0.0	0.010232731984390864	0.09601605927564863	0.12064331656393883	0.011600504041135568	0.11891305747440557	0.02758114355787416	0.04120683911224893	0.013946296256888716	0.02434775485833961	0.015446140522977235	0.015558314885232774	0.02756008929925296	0.016180505127641902	0.014761105240108601	0.013795706949765512	0.018155208875238717	0.012130664765756869	0.014207588183274786	0.017447455984546147	0.010888330959402164	0.013444241095319165	0.0754167735559752	0.06638334861366295	0.3905361829841836	0.052398395750047434	0.05030852719052987	0.15116005502990487	0.0113866332939236	0.14720184345887308	0.016641193877553653	0.008082421837210557	0.016282236850420115	0.013707686544791483	0.012943708320361057	0.0093490780148955	0.006356525011198679	0.0	0.009556138742033258	0.012313877106816093	0.0203135875801676	0.0	0.008976100423585365	0.007509913312361019	0.800838283670359	0.012443975814577969	0.0	0.1367635405454892	0.017127680090531828	0.010602210129652491	0.01291086238626215	0.013113738818910935	0.30429537393945627	0.1316275502148572	0.03659880426681992	0.024797184842876983	0.009449206312000151	0.009461432429422323	0.02926097529498564
Blautia	0.02073794276627046	0.11454104158530991	0.09816183903041557	0.2160868003062202	0.0287483690124766	0.03870819499815315	0.19561470386878155	0.12698926898211418	0.254260866625197	0.15554547238997243	0.06962183515846558	0.21412134698389687	0.01924669069562942	0.03139640150602698	0.14584469923387813	0.022441901340597505	0.10464254374101231	0.06682795989211293	0.03619379552359449	0.020256895740289244	0.022711703711756025	0.04880678298146471	0.07259912516052783	0.06000859405725602	0.13632464259221547	0.1672824751019897	0.1431983434839225	0.039985852979884634	0.024473302131444493	0.037507154971813755	0.08958797161021304	0.028606648704936233	0.15382708325270575	0.02752532622119488	0.06530351145039474	0.2386598981587067	0.029047380596945917	0.13621721122790564	0.20951509587272407	0.0	0.12787566246037982	0.1586500298275853	0.03291804800338693	0.021981542546153816	0.07540052534406384	0.04416004678936457	0.11062322445604957	0.027602422335473952	0.06598968365364055	0.10373094554344085	0.11367234483396325	0.05225376062764581	0.03822216685032217	0.026099605968983332	0.027341560946535486	0.06197877631837058	0.03281802519409864	0.034597915709125696	0.038267191051216655	0.027733407759885285	0.025589205759779285	0.13216168952566057	0.02832213386476972	0.02470493547376714	0.09134911787572435	0.17349374202529227	0.03668847537649624	0.030914577542822536	0.047320499968104675	0.33444585788726955	0.35293681191566195	0.09861054615175585	0.15548097509592987	0.03332627728251696	0.024982347812499864	0.017613484585669168	0.0	0.028098104190871224	0.019756136620524743	0.03139196015845042	0.0	0.023464819154377436	0.018997947429706025	0.02102506500665043	0.0259558998764633	0.0	0.05579614666129759	0.03833166435448869	0.018579818665171034	0.024248095991172478	0.03128376670153165	0.023235735124090467	0.04048617498065043	0.08008693890374098	0.04928016886487482	0.026646300700573312	0.01700172208760407	0.0700244404127012
Butyrivibrio	0.011020634507147554	0.005305654853999056	0.013210496346387487	0.03634808441159379	0.008396273178107642	0.00499437358233849	0.0037553892697969487	0.012873686268256784	0.011738761357786036	0.006276034531277537	0.006447313640167766	0.013095056767117592	0.0030669719121496184	0.0054016776220340255	0.004090134663142553	0.002621284560172841	0.006098504608362129	0.010326217818137416	0.01535611874448206	0.009741088855722549	0.002653980335151952	0.012865847658142188	0.0023865689463839295	0.0065437039220078005	0.015192926742338807	0.011691614124472767	0.005862713089317065	0.006033811103415334	0.0027663500614863723	0.004867663370794327	0.01008442530652732	0.003618039772916261	0.00249129348186652	0.006750573599273819	0.005021119035793012	0.006446338300036628	0.004327152317899837	0.004438105558094323	0.004657999764193677	0.0	0.005940514070079302	0.0048069065393349176	0.003677086203046744	0.002833928782145062	0.009860096518792555	0.013070446546922881	0.005801852302252803	0.003588158454959782	0.006834389225432915	0.014447088785934589	0.012967387918965885	0.0030817348883187433	0.005265959349679959	0.0038659240011060616	0.003500680039137668	0.007073917938465896	0.003901197839037076	0.003911958969792551	0.0058105213611639945	0.0035244958058975157	0.003495726902364299	0.013297576790672538	0.00345571238783393	0.003729056649247579	0.009100540844129939	0.004841073849542788	0.004424286667673278	0.002760488466119476	0.0068076084458586145	0.0059353340653911695	0.003027533614084254	0.004066320287691189	0.0044076082096186076	0.004948546593905111	0.003978539309809891	0.0035182771068303104	0.0	0.0032543899216156994	0.002205539121596136	0.004475087359863134	0.0	0.002051546425215705	0.002645159636568848	0.00667501294833007	0.003543656082348358	0.0	0.007976725081481686	0.005241343067547568	0.0034829014435068906	0.002692416387216053	0.00439478539060096	0.004023982348290811	0.00606059567061188	0.0030448546930527355	0.00864984840985747	0.0034685697863631217	0.0024805058274034904	0.006450901813274417
