Taxa	M00002	M00003	M00004	M00005	M00006	M00013	M00014	M00018	M00020	M00027	M00033	M00035	M00036	M00038	M00040	M00044	M00046	M00064	M00088	M00095	M00097	M00117	M00129	M00134	M00135	M00159	M00175	M00190	M00192	M00193	M00198	M00200	M00207	M00209	M00211	M00212	M00215	M00216	M00217	M00218	M00221	M00223	M00227	M00230	M00237	M00238	M00239	M00243	M00244	M00245	M00246	M00260	M00268	M00269	M00274	M00276	M00280	M00283	M00303	M00305	M00306	M00307	M00331	M00332	M00336	M00344	M00348	M00349	M00356	M00358	M00364	M00365	M00367	M00448	M00449	M00455	M00467	M00473	M00479	M00481	M00501	M00502	M00504	M00505	M00507	M00515	M00530	M00531	M00537	M00538	M00540	M00542	M00546	M00549	M00550	M00555	M00568	M00580
Acidaminococcus	-0.29543853899102446	-0.2143876767509977	-0.16040974504555977	-0.04387612351043505	-0.11422296207397496	-0.04240277164298487	-0.07183598019972103	-0.03550651142583859	0.22953384371201976	-0.05392952774203494	-0.08079656149177633	-0.2031162560574084	-0.007966365683160705	-0.05298960914413244	0.32657245409089747	-0.03013506602608025	-0.06594509189530202	0.3010118775020772	0.3513277074893449	0.2858152822483278	-0.04326788002607395	-0.09768756537520883	0.06367649349900527	0.18266018330809197	-0.04198908869925404	0.13896067128494363	-0.04285158794676938	0.4530748179067627	-0.03610841201164961	-0.035171192519513055	-0.0518800517488388	-0.03201580292380727	-0.059036235851247856	-0.07078836728175636	0.05674896864006987	-0.07610767495513543	-0.04316904776994341	-0.04973696177065957	-0.04069315805082024	0.0	-0.0632602014197007	-0.04868098162482041	0.31017916531070955	-0.03107925820811221	0.06171194936724491	0.31812083417611187	-0.06756518514622865	-0.03988841966669668	-0.071910565489054	0.10768928173139056	0.1080763784833265	-0.047868685744552116	0.23827813666202874	0.6073050502713296	-0.027533083082590268	-0.06008902205526398	-0.0338458866033263	-0.042911148214005095	0.2326545497986329	-0.027898137137437527	-0.034476217769872204	-0.09373701922084869	0.0939167796648622	-0.0302355627307665	-0.08703001130299289	-0.05176394521580605	-0.044652611254208156	-0.026931002556394842	-0.06157357521164289	-0.06146183223293179	0.7221062057854712	0.2219180018976663	0.3898797998913106	-0.048887868081781936	-0.02612257539439109	-0.022438565934420313	0.0	-0.03742584553601897	-0.030304794793663582	-0.04232940095124661	0.0	-0.027870966139393428	-0.02335630687994579	-0.02692344506025011	-0.02839666197241197	0.0	-0.06371221166530824	0.18624927421529291	-0.02722596983151912	-0.03603679573865925	-0.04091327012603503	-0.03496246167361147	-0.04720295130737591	-0.1411934165596491	-0.06449652681580269	-0.0314009466303196	-0.032195608352916884	-0.10328726515257593
Akkermansia	0.06827208094633591	-0.08134115106515667	-0.2410287053779354	-0.07053730546042519	-0.1300135405366221	-0.039942581722400436	-0.11371269612891863	-0.2594931979527355	-0.39007139141559827	0.016133679790597783	-0.11129087849530694	0.01799403843979175	-0.039692464588087326	-0.060146737933559624	-0.0552062947395304	-0.02519556751906912	-0.05298362612635122	0.4293806729551101	-0.05515640626795609	-0.06228595919347425	0.9580528099017603	0.046577613486497055	-0.027883337040820803	-0.08106935111452357	-0.2558681189686551	-0.17479624868874993	-0.05456476228405572	-0.06629336650930419	-0.034790933502184165	-0.04358030151848483	-0.05415584776051145	-0.039817118289379	-0.06956225350246899	-0.07750626159286822	-0.10237766650944448	-0.052686049715653153	-0.043613635474694545	-0.060477018509121974	-0.04125983530638542	0.0	-0.057176057142438313	-0.05147743513874843	-0.038143672714478376	-0.03278333863345659	-0.07762011887109596	-0.0699912313788736	0.12756540662179233	0.9996158897409522	0.06547625722375326	0.021909181323521647	0.028955016985198697	-0.10275558630177622	-0.0558018524267914	-0.039957381819017174	-0.030134661160215338	-0.056180581950852924	-0.03625191446820697	-0.041680041089050664	-0.05022221600228468	-0.03337849145485269	-0.033948947458490204	0.27143381693590074	0.1441040872325737	-0.027068162114402126	0.0237180320376817	-0.03656937429138097	-0.043516512652215796	-0.030107085296306374	-0.08491949053438975	-0.06182153306134323	-0.0014400179112404334	-0.04785033182534355	-0.04590801033105632	-0.05014155772497829	-0.030694860561942178	-0.019143407645133444	0.0	-0.034445672889620665	-0.031993175420469235	-0.05364121826113342	0.0	-0.02485278108679108	-0.02061244094335804	-0.03104106586152376	-0.03786089640039703	0.0	-0.08254220814591666	-0.07517684334664498	-0.03128025161748468	-0.034304419687868286	-0.043491096072919594	-0.033689293483804	-0.050092164089461065	0.06987962335545078	-0.07584176805209142	-0.03428300678212494	-0.02340929932315098	-0.1154129078359984
Alistipes	-0.16114120270813728	-0.19652922339084986	-0.4018025597913244	-0.06883857826151658	-0.2133875680945142	-0.07520833291391461	-0.1656405220498151	-0.38224560415774833	-0.045643902831856265	0.06449634687541829	-0.1694171558226547	0.6699509352186958	-0.036410801827630325	-0.0685172497200781	-0.036946574322175116	-0.022448687581042702	-0.110640124095132	-0.20619112233109615	-0.10721693822234597	-0.10057106505008942	-0.05931118475860788	0.2657839587763828	-0.16890850934105786	-0.15191282513900173	0.3185567397573157	0.06450282472925661	-0.08021692852853453	-0.09637935379553991	-0.04172390155774763	-0.07136156737625596	-0.11749625760655752	-0.03552468540466276	-0.08939316837129078	-0.14856332485362678	-0.1740623168458869	-0.11702256454463006	-0.05926966351490806	-0.05728141223750329	-0.06353267614677523	0.0	-0.10999449799591225	-0.09705907859760302	-0.04612596312165827	-0.038204222653828265	-0.1297264456533152	-0.12354864240597366	-0.14084932555958415	-0.08283915476526932	-0.17920411333005742	-0.08293155415265764	-0.06499113794741647	-0.12028762780462637	-0.12699346610998355	-0.0482922204243287	-0.05073792514396912	-0.13620389462577534	-0.06594072834098036	-0.06956423284669735	-0.134388611042873	-0.036335496776759776	-0.042356526964194605	-0.1409391607964948	-0.03772360188710143	-0.049640513724622304	0.049908265016606404	-0.09022818172508926	-0.06132372798790639	-0.06084576134184947	0.7602344486119874	-0.07440435927642473	-0.012224115058784228	-0.0548440297606413	-0.06852300781237881	-0.06995969682650788	-0.03142514861202111	-0.028788932010399428	0.0	-0.02248629512138186	-0.05632152025693258	-0.08217827871847183	0.0	-0.02998211669934202	-0.028033092425735987	-0.041762048919239986	-0.03034937502389816	0.0	-0.1359033042136385	-0.049462507699356666	-0.019407380189045195	-0.05790998898530133	-0.07206275006915851	-0.04437676264492613	-0.09612005970162253	-0.0345794135803244	-0.14656301757046733	-0.024449309759874846	-0.026369048735920123	-0.20316578464821386
Anaerostipes	0.012293482076969628	0.04588452811089236	0.016625411876061192	-0.0026676611837952273	-0.0077162935339437	-0.0036436128436734333	-0.0011541826106243414	-0.006010368719659246	0.061833454111809585	-0.002373953491361723	-0.01767738834834753	-0.0003043241751129775	-0.005812299341533232	-0.005450979049662214	-0.0018417798045048867	-0.002065355732119299	0.047293686246208555	-0.006599133657409224	0.008215538130455719	0.0052097689643768085	-0.010095600251741268	0.0014722722251437634	-0.00590870240247442	-0.005096136611629521	-0.006185630654062814	0.0014702928809153843	-0.0050747237058861696	0.01156296910141019	-0.001521350964988292	-0.0022274820184618204	0.004241104890066719	-0.0024666677744227534	-0.0037684464853494893	0.021866040616362256	-0.0049378790435515504	-0.0031785119351009166	-0.002557267757967105	-0.004096657746491291	-0.001450274513151117	0.0	0.0032426156970426705	-0.0025839439199540955	0.017881260803870366	-0.0015004778803981347	-0.002892766604677024	0.011860905392877031	-0.002529017117616633	-0.004794061691321518	-0.00702154370978334	0.02087740315938398	0.020956981794383968	-0.00695330131900043	0.01921196493158906	-0.0031895782687413905	0.14166683971100003	0.09072477220093139	0.1876341853838115	0.051285258808211484	0.02459290218662439	-0.003304695129659954	0.038035483558359104	-0.0012532397922353944	-0.0016621543157796612	-0.002578590693518258	-0.007714089264234824	0.11376753296106389	-0.002278315177054234	-0.0017693537997847226	-0.005096451507302217	-0.003548559335615233	0.0007711795024333755	-0.0019427713452482157	-0.002459470159046837	-0.003114453158255256	-0.00202963756581631	-0.00200026229806335	0.0	-0.0023860544822124864	-0.0029715804930433107	-0.0030944347904909896	0.0	-0.002121092266186554	-0.0012558489278091673	-0.012492676082498117	-0.002507244331104483	0.0	-0.00411213261954951	0.0697390449301399	-0.002334681502466881	-0.0011692976029137677	-0.003056512354479128	-0.0022062940381989667	0.016542099478084958	0.0037366870075032526	0.03964482537131801	0.019155058785023202	-0.004969548551205582	0.09738094696019478
Anaerotruncus	-0.006937376594981217	-0.009941301372120046	0.03228922233789991	0.10645722991941792	-0.011981375480231435	0.17958198813729304	0.009464819234234366	-0.0052801706397724935	0.02781244052936803	-0.010160198849740116	-0.010229565867925521	0.0012006072297990047	-0.006099664135416708	-0.008905564519525632	-0.008134654927668858	-0.002368375339445391	0.06507310079250972	-0.0047246047029439195	0.016788347894133502	0.013427646319829704	-0.0039333168625540794	-0.0007866093903954975	-0.01366534756761935	-0.010096769864239852	-0.029502575574921565	0.04138363429085116	0.08935056748528457	-0.007809907518926711	-0.0032867010912201637	-0.00764296782730155	-0.0068714284440993785	-0.006935442235848937	0.0010822964270573753	-0.013111985900499654	-0.00922324926818016	0.20984197777524144	0.16313953064706838	0.2781854050839911	0.3511695848765555	0.0	0.08960018978354058	0.0886711575788941	-0.007720297207496555	-0.003557961220700024	0.16180347329291386	0.018663326699559814	0.0662061404079673	-0.008496649995981369	-0.012934969547348199	0.021852050251475307	0.021143759913389	0.0025051750166839104	-0.00877114905238039	-0.0064040782807218855	-0.006574436839650616	-0.011012756391017446	-0.007539861987041541	-0.006695986569311413	-0.008415271957137413	-0.003109054946723319	-0.005349177777189093	0.15609081593924093	-0.00467179220012313	-0.0045990063146341765	-0.018310688531235984	-0.00877308341151267	-0.0072495731619116	-0.004726494076980099	-0.01056704405886381	-0.011812321489089592	-0.00109129344627727	-0.00724201566576689	-0.006638090750631383	-0.007422046020357004	-0.004013570273995553	-0.0031254295217035288	0.0	-0.0038240930492245413	-0.005396277172805248	-0.015564663310035469	0.0	-0.004436430177330657	-0.003423590738650878	-0.004349788882243059	-0.004142767469993256	0.0	-0.011142403437976147	0.17428535295234807	-0.007573915704788848	-0.009654656339774165	-0.00802988463885317	-0.007559385518748709	0.05170213569376533	0.05114598495068746	0.03162155354159144	-0.003146617501966384	-0.005498348355854966	-0.010472755297439296
Bacteroides	0.060570272613336223	-0.07834509867983519	-0.0426330503499181	0.08805027328252908	-0.12735217726628079	0.040031922123254036	-0.15855410983145635	0.03628133472105604	0.20961354345724836	0.13580172786664588	-0.1903294674166118	-0.025444335100499232	-0.27335472552444473	0.07276028896927703	0.07091509029746856	0.05283724462364353	0.07269744479002606	0.09327452744784992	0.18860779781869252	0.04454347741107079	-0.07893363869210475	0.11324359154679317	-0.11912503298103136	0.03050893715976301	-0.042380638975703905	0.018775654484520204	0.19822421682678215	0.2152997045893186	0.06489473488647525	0.06997832065629306	-0.0028792260907511396	0.138547078311405	0.3325919097999688	0.08916774805473626	-0.2570869451623743	0.10531420361262629	0.09125415681183009	0.12991088454732305	0.07890462330512053	0.0	0.14082013023221557	0.006636606242460122	0.038082223073206474	0.05226516915654643	0.06680696135147189	0.00278871607739893	0.1402952441309269	-0.008771598903341386	-0.10545541182928254	0.18608183968761063	0.03125492500838064	0.050581826860503894	0.10121651120892473	0.09859747891401305	-0.006108796109924897	0.008546583452651762	0.02600615396568561	0.053024202683032956	0.05127266298130362	-0.0068716083844837725	0.025504975010041314	0.06103847749353959	0.08729600817622911	-0.05434303074538139	-0.1602110908611845	0.15606485953879148	0.022244815125519842	0.10511352509892649	0.07879850346342188	0.1401278995734368	-0.022736457240791052	0.07475974153561064	0.11004231715306594	0.0362402633283172	0.051373024730701544	0.02047190750314327	0.0	0.0536101335597287	-0.012205851109767844	-0.039067981484034356	0.0	0.04692381878607863	0.02530771536364511	0.045854253141217445	0.09447909336610572	0.0	0.06611437081192435	0.1713146271761307	0.04883743978905439	0.08745835938805215	0.1541503838189899	-0.03217666962745903	0.0218767470692339	0.0796905129339784	0.05427969173007332	0.11599838886173316	0.029339144720792177	0.13408095797064862
Bifidobacterium	0.5917919398814239	-0.28058144625753795	-0.034536767709222094	1.0117269572532384	0.4475582505869879	-0.20165927876493836	-0.19089839392698202	0.277451833121897	0.16483074533492834	-0.1844768614289734	0.5956063611349872	0.30844714914068755	-0.141633820650463	-0.2646572170743791	-0.1190544963503474	-0.0947985325335081	-0.2794892980944345	-0.44967138049116495	-0.2113450198061173	-0.2129933187122983	-0.11072325655272378	-0.3102449335212072	-0.22681660895232295	-0.3446086435657345	-0.3511257693929544	-0.5078513700232551	-0.21052188251768902	-0.25532703823277053	-0.12814153074753837	0.998781776089075	-0.018781727472493636	1.5992071206586247	0.8115010835904133	-0.29603652587347506	0.559012874832097	-0.05794930595929228	-0.18145237846291715	1.5091950023500997	-0.18900096755860196	0.0	0.10621979858220489	-0.13988147121700384	-0.13177488698930107	-0.12360028529629591	0.42450626788215506	0.5356404632877476	0.6255964851814348	-0.13834995362029703	1.243396513387677	0.37407532103396873	0.40711925832912976	-0.28790560470878224	0.22883045674940836	-0.10939813057692138	-0.1218224293133483	-0.2528930746232121	-0.13976536468397108	0.11995631257185366	0.200971726556154	-0.09979867095006129	-0.14052534289747565	-0.27440260835298586	-0.13297355985996775	-0.16098681385832397	-0.45091584818966085	-0.2737943648686249	-0.16547812585289595	-0.1341990438479098	-0.2881539674243475	-0.2700384692250872	-0.017927100616795727	1.0471242448657474	-0.13927453230042966	-0.22249471082966157	-0.1058749878206024	-0.07806637102440286	0.0	-0.12547076559211218	-0.09828816139323299	-0.13300972787723178	0.0	-0.10901026907835173	-0.0935952261979431	-0.14121955290048288	-0.09357961636959661	0.0	-0.31153074252301843	-0.22186982285974366	-0.1030649937927484	-0.10941387536055629	-0.1801467760188219	-0.14924107031146153	-0.2497509556308557	0.5295857842484302	-0.11101642442400404	-0.14800771393170217	-0.06861981573918487	0.716944750814305
Bilophila	0.015927333154789475	0.020640691583708518	-0.02548441682112388	-0.0349688495572576	-0.016791136970091672	0.5316577527896762	-0.04003520603526928	-0.019078629106750202	0.17095542118377627	-0.03291501000973977	-0.03553687636570573	0.006144469291131792	0.0780667758902677	1.49269298459264	-0.007459158724639077	-0.003938715074086018	0.4079831970997202	0.07714669571974507	0.03895178498080942	0.0376137482824265	-0.022793138461876424	0.0565363240908076	-0.013195748149436892	-0.02401196465559572	0.019858580702922988	-0.061353868002293054	-0.017916034283155264	-0.01926545221085134	-0.006312893490928241	-0.02238723793977081	0.16482107353926698	-0.01665600174140884	-0.027217197737779718	-0.033657803916534376	-0.030210551017335177	-0.03268320180953915	0.2751064901516546	-0.032029928243982514	-0.013561476980725653	0.0	0.020504251787238807	0.17108893694899951	0.21980023852859099	-0.00817505154396619	0.2301931002953578	0.04990030265459678	0.11110895876668073	-0.020736149957631633	-0.04578736030331752	0.03519026620025925	0.03400679829207414	-0.03490528561646902	-0.017951032687920653	-0.015294167927189297	-0.0077547557911087535	-0.024927681271796703	-0.011630446745559403	-0.016597746041960022	-0.020812084799847533	-0.006619916771807188	-0.006376232506236308	0.12110671643440563	0.11336424157453204	0.7862162656406833	0.07109772978763253	0.11156164378872986	0.37222166516409366	-0.006292245331818585	0.2857359285388083	-0.03163369951753831	-0.002557177787774907	-0.01888222417717987	-0.015050708587098918	-0.018428774408497123	-0.006033176163381678	-0.005366362083899095	0.0	-0.005839965175634413	-0.017150252992253825	-0.02309503344180002	0.0	-0.00836772271056026	-0.007144847858192016	1.6204840364564668	-0.005132394599085705	0.0	0.23033646779662678	-0.020232316881317457	-0.009285148760413038	-0.014258026208729986	-0.02224396040869397	0.6109539713563428	0.29487397603497617	-0.05700093016332301	-0.031622903094474436	-0.005925301902935126	-0.0055362707918668284	-0.0388069329713691
Blautia	-0.004236066559303581	-0.00694254988103266	0.0014236433362602274	0.253245757776632	0.009126891192335087	0.0042315230645975305	0.013714021441599009	0.00348589509674867	0.05659862844890535	0.04363126963236556	-0.013934898263447426	-0.011338538456969876	-0.01005434891861804	-0.030085222539602018	0.04141435911148712	0.0030785100664717734	0.061643527036077554	-0.004623253281431802	0.008074374898895557	0.001939082567368062	-0.0040022340297784795	-0.011410559595825145	-0.032524404420308003	0.002303011994812848	0.10543993695622435	-0.020774297319123978	0.15971238608582572	-0.023214738782520748	0.008502273132993805	0.017988415302779323	0.012070580925796713	0.014411875237390208	0.16341061083616393	0.002917913273396637	0.0007890385855848683	0.2450186134913826	-0.0007483720587109382	0.14181879936562397	0.05536806114510412	0.0	0.09316845259124738	0.0521740293518489	-0.0020860038912289603	0.005192179791801912	0.04438153106511266	-0.014133282537246132	0.07254714958395772	-0.014301076945697187	0.005966238340385652	0.11959094362133367	0.10566333294345437	0.01965070457384728	0.015405146159266726	-0.006838904219619453	0.001968997656274213	0.021090677499991616	0.007692811313779771	0.004305478562585078	-0.0014376786862432603	-0.0011612902558080609	0.00869453943372298	0.06274998045974041	0.0028960505166922878	-0.0010860301900336307	-0.026095314426154804	0.17232863622730907	0.0004725684345250299	0.0050115646309625015	-0.0107668228706416	0.4012212623795268	0.12100127136914851	0.020421974046472852	0.0039042115053777205	-0.0044694492378676755	0.016479570194506677	0.004461082009993173	0.0	0.008840201174893087	-0.01811581309493305	-0.019304769184842294	0.0	0.0025501151276872847	0.008328135825992719	-0.009304267426255322	0.012341121293738978	0.0	0.0007042416794373538	-0.008548247901207472	-0.006939220983921293	0.009651237472470604	-0.008746812115390572	0.005748195579591474	0.0011729863807939305	0.030289859741758556	0.007870997279429809	0.010891341616644954	0.003221787597548612	0.023763961820799307
Butyrivibrio	-0.0038693480559006204	-0.0001872729550621351	0.0050064363300071635	0.013195298298475888	0.0038515339578452305	-0.0014938200861754128	-0.0006041948257121068	0.004124098655111973	-0.0038530184660165124	-0.0014113624050250651	-0.0006066240209014816	-0.002574721975253701	-0.001754553703167993	-0.0003911454105849742	-0.0018152385978061944	-0.0006793199361982382	-0.0010219714131879717	-0.001008700809838623	0.007317230746445215	0.0042526210746681855	0.0003148506876002566	-0.004844444998952935	-0.0008052332201806806	-0.0005786432911276036	-0.00250508504649171	0.0018317031429786032	-0.0007476522971733488	-0.0011073531255847845	-0.0007781521923287935	-0.0025479558430745136	0.00360416091439419	-0.0005338831205086216	-8.286254701524023e-05	-0.0031606528519494224	0.0005941181641858301	-0.0029411705680800608	-0.002347637210143529	-0.0022033700069524994	-0.0022376486501803046	0.0	0.001748750625771161	-0.002728256108241225	-0.0026049069747364523	-0.0007185919250930845	0.009079027050085224	0.008081302603694877	-0.004278937355886378	-0.00037166686397389854	-0.001073479348221877	0.006364671336538743	0.007231669093664007	-0.002702794543848917	-0.001480414527537767	0.0003609604111022229	-0.002129459494061055	-0.0022196546117405117	-0.002558212444985194	-0.001813034328097318	-0.0012104139807486898	0.0004069351793158911	-0.0011145507409607005	-0.00012352907388916992	-0.0016196433999656566	0.0009978594016786517	0.002870049131146787	-0.002991958741576377	-0.002067245106155476	-0.0014518489915145982	-0.003919821333724238	-0.0013469887325067112	0.0015044365688548884	-0.0027412118159178744	-0.0004346459985131704	0.0019970683562402884	-0.001256478719154558	0.0008241719456385601	0.0	-0.0011578264034084	0.0006267773439540465	-5.04732778236164e-05	0.0	-0.0004092294192169648	0.0002139041319530244	0.008407894401377092	0.00042124043987552454	0.0	-0.0028242543033175156	-0.001767509410844646	-0.0019893759048072784	-0.001425082859335407	-0.0006529136847878444	0.0017725027565116877	-0.003147067352927377	-0.0031299280313134776	-0.0037650276180459285	-0.000834338577357044	0.0006359543035583406	-0.0003377031164187854
