KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
M00002	-4.403618190946063	0.5728800331652132	0.6380529757973548
M00003	-0.6235474640362324	0.5570592530435612	0.6265253043595154
M00004	0.5023806326545484	0.7533275653021884	0.7806346692227216
M00005	0.4237862542685431	0.6627771167765828	0.4525494310245065
M00006	0.39683320958268575	0.8080262448552578	0.867146706254347
M00013	-0.4133618482142525	0.5368421388124776	0.541035786717476
M00014	-2.2345285741160437	0.39794335136238124	0.49658380918426387
M00018	-1.6631361503376865	0.619124010419412	0.5451349234644676
M00020	0.22003391583859744	0.5790555173787363	0.6007390544544907
M00027	-1.5758135179694701	0.7907590436924657	0.6828731655142989
M00033	0.09474157886020362	0.5352918043817382	0.5965668597345366
M00035	-0.9717136897694989	-0.026918178833583054	0.041265188752578945
M00036	-0.48486331897836843	0.7462728356210142	0.8115525111486467
M00038	-1.5379857296020072	0.6449804004351014	0.4415267362957854
M00040	0.5837780530876335	0.79415198112251	0.6907137471726564
M00044	-0.23968772829780338	0.40243132883541083	0.3356078715582389
M00046	0.37402362797641664	0.7665686682378469	0.5821630420171015
M00064	-0.7954791801076266	0.6617818039494188	0.5826709410451382
M00088	0.24489750149349865	0.7170898006557438	0.6306600933973127
M00095	0.5779464518142745	0.8310937318236971	0.6963091112059241
M00097	0.55492915518275	0.7681132734337437	0.5539630606967642
M00117	0.08952506426506923	0.8215793083869148	0.6716102561704764
M00129	0.41268865427158063	0.6573488781899611	0.727805280045822
M00134	0.3384814175570261	0.694963771184218	0.567932225579642
M00135	0.1861221225989368	0.43944440930671974	0.5496893574989626
M00159	0.5507189710977465	0.7973491551708893	0.7538522007983776
M00175	-0.28389627946242957	0.4751466470713392	0.3099426056564405
M00190	-0.1508737060223635	0.5682422883298168	0.23940717838419143
M00192	-0.5933075384901636	0.8994685044532938	0.8876488190909251
M00193	0.4774862530026145	0.8221882062399859	0.6740045120604102
M00198	0.4735111381010072	0.6963191314623769	0.5408084303056161
M00200	0.8438398743875616	0.9191746443850873	0.7808464428707117
M00207	-0.34511251162549184	0.6790074602313627	0.6542353168085939
M00209	-0.061633694273381945	0.7229460455197183	0.6281591728668533
M00211	-1.2946372016937677	0.7924834705740945	0.8414346832498524
M00212	0.25609080998880795	0.705247639776827	0.43920027820476104
M00215	0.6879478596988479	0.8746166212177722	0.7129885386652016
M00216	0.2322682710477143	0.5643018785999684	0.5172659368662221
M00217	0.5457538130377879	0.8110774083175778	0.48552633886041247
M00218	-0.12278774857912089	None	None
M00221	0.24665243151613825	0.6485711224447953	0.5918511136957398
M00223	0.498474828997977	0.7610113710009209	0.5689953652021952
M00227	0.5320850113793716	0.7903758186694074	0.7493871897227888
M00230	0.5279377349343277	0.9330541732130949	0.81611591787962
M00237	-0.13383492228291582	0.4853683079492831	0.5725643932973693
M00238	0.16229173123323237	0.8294687609342505	0.7214702770942799
M00239	-0.22444197507565855	0.7576334860830167	0.694610951682379
M00243	0.7994820544857183	0.8968899782890118	0.7104919188566247
M00244	-0.5192712468048097	0.5836850009037764	0.4139949853007358
M00245	-0.007108908922021762	0.7901421218222939	0.7672717815040591
M00246	-0.010653562959295426	0.7919830888499884	0.7668576889133065
M00260	0.07177769011862456	0.28336232296325525	0.45086559086366207
M00268	0.6655505582217789	0.8178272666253705	0.5883241669929923
M00269	-0.5246942350703676	0.6128041180542985	0.5309079060416021
M00274	0.6053798962810097	0.8084711638562347	0.577456355166952
